Round,Sim Time [s],Accuracy,Loss,Precision,Recall,F-score,prog [%]
1,20,0,inf,0.0,0.0,0.0,0
2,31,0,inf,0.0,0.0,0.0,0
3,40,0,inf,0.0,0.0,0.0,0
4,82,0,inf,0.0,0.0,0.0,0
5,93,0,inf,0.0,0.0,0.0,0
6,102,0,inf,0.0,0.0,0.0,0
7,143,0,inf,0.0,0.0,0.0,0
8,154,0,inf,0.0,0.0,0.0,0
9,163,0,inf,0.0,0.0,0.0,0
10,205,0,inf,0.0,0.0,0.0,0
11,216,0,inf,0.0,0.0,0.0,0
12,224,0,inf,0.0,0.0,0.0,0
13,266,0,inf,0.0,0.0,0.0,0
14,277,0,inf,0.0,0.0,0.0,0
15,286,0,inf,0.0,0.0,0.0,0
16,328,0,inf,0.0,0.0,0.0,0
17,339,0,inf,0.0,0.0,0.0,0
18,347,0,inf,0.0,0.0,0.0,0
19,389,0,inf,0.0,0.0,0.0,0
20,400,0,inf,0.0,0.0,0.0,0
21,409,0,inf,0.0,0.0,0.0,0
22,450,0,inf,0.0,0.0,0.0,0
23,461,0,inf,0.0,0.0,0.0,0
24,470,0,inf,0.0,0.0,0.0,0
25,512,0,inf,0.0,0.0,0.0,0
26,523,0,inf,0.0,0.0,0.0,0
27,531,0,inf,0.0,0.0,0.0,0
28,573,0,inf,0.0,0.0,0.0,0
29,584,0,inf,0.0,0.0,0.0,0
30,593,0,inf,0.0,0.0,0.0,0
31,635,0,inf,0.0,0.0,0.0,0
32,646,0,inf,0.0,0.0,0.0,0
33,654,0,inf,0.0,0.0,0.0,0
34,696,0,inf,0.0,0.0,0.0,0
35,707,0,inf,0.0,0.0,0.0,0
36,716,0,inf,0.0,0.0,0.0,0
37,757,0,inf,0.0,0.0,0.0,0
38,768,0,inf,0.0,0.0,0.0,0
39,777,0,inf,0.0,0.0,0.0,0
40,819,0,inf,0.0,0.0,0.0,0
41,830,0,inf,0.0,0.0,0.0,0
42,839,0,inf,0.0,0.0,0.0,0
43,880,0,inf,0.0,0.0,0.0,0
44,891,0,inf,0.0,0.0,0.0,0
45,900,0,inf,0.0,0.0,0.0,0
46,942,0,inf,0.0,0.0,0.0,0
47,953,0,inf,0.0,0.0,0.0,0
48,961,0,inf,0.0,0.0,0.0,0
49,1003,0,inf,0.0,0.0,0.0,0
50,1014,0,inf,0.0,0.0,0.0,0
51,1023,0,inf,0.0,0.0,0.0,0
52,1064,0,inf,0.0,0.0,0.0,0
53,1075,0,inf,0.0,0.0,0.0,0
54,1084,0,inf,0.0,0.0,0.0,0
55,1126,0,inf,0.0,0.0,0.0,0
56,1137,0,inf,0.0,0.0,0.0,0
57,1146,0,inf,0.0,0.0,0.0,0
58,1187,0,inf,0.0,0.0,0.0,0
59,1198,0,inf,0.0,0.0,0.0,0
60,1207,0,inf,0.0,0.0,0.0,0
61,1249,0,inf,0.0,0.0,0.0,0
62,1260,0,inf,0.0,0.0,0.0,0
63,1268,0,inf,0.0,0.0,0.0,0
64,1310,0,inf,0.0,0.0,0.0,0
65,1321,0,inf,0.0,0.0,0.0,0
66,1330,0,inf,0.0,0.0,0.0,0
67,1372,0,inf,0.0,0.0,0.0,0
68,1383,0,inf,0.0,0.0,0.0,0
69,1391,0,inf,0.0,0.0,0.0,0
70,1433,0,inf,0.0,0.0,0.0,0
71,1444,0,inf,0.0,0.0,0.0,0
72,1453,0,inf,0.0,0.0,0.0,0
73,1494,0,inf,0.0,0.0,0.0,0
74,1505,0,inf,0.0,0.0,0.0,0
75,1514,0,inf,0.0,0.0,0.0,0
76,1556,0,inf,0.0,0.0,0.0,0
77,1567,0,inf,0.0,0.0,0.0,0
78,1575,0,inf,0.0,0.0,0.0,0
79,1617,0,inf,0.0,0.0,0.0,0
80,1628,0,inf,0.0,0.0,0.0,0
81,1637,0,inf,0.0,0.0,0.0,0
82,1679,0,inf,0.0,0.0,0.0,0
83,1690,0,inf,0.0,0.0,0.0,0
84,1698,0,inf,0.0,0.0,0.0,0
85,1740,0,inf,0.0,0.0,0.0,0
86,1751,0,inf,0.0,0.0,0.0,0
87,1760,0,inf,0.0,0.0,0.0,0
88,1801,0,inf,0.0,0.0,0.0,0
89,1812,0,inf,0.0,0.0,0.0,0
90,1821,0,inf,0.0,0.0,0.0,0
91,1863,0,inf,0.0,0.0,0.0,0
92,1874,0,inf,0.0,0.0,0.0,0
93,1883,0,inf,0.0,0.0,0.0,0
94,1924,0,inf,0.0,0.0,0.0,0
95,1935,0,inf,0.0,0.0,0.0,0
96,1944,0,inf,0.0,0.0,0.0,0
97,1986,0,inf,0.0,0.0,0.0,0
98,1997,0,inf,0.0,0.0,0.0,0
99,2005,0,inf,0.0,0.0,0.0,0
