Round,Sim Time [s],Accuracy,Loss,Precision,Recall,F-score,prog [%]
1,6,0,inf,0.0,0.0,0.0,0
2,48,0,inf,0.0,0.0,0.0,0
3,59,0,inf,0.0,0.0,0.0,0
4,68,0,inf,0.0,0.0,0.0,0
5,110,0,inf,0.0,0.0,0.0,0
6,121,0,inf,0.0,0.0,0.0,0
7,130,0,inf,0.0,0.0,0.0,0
8,173,0,inf,0.0,0.0,0.0,0
9,184,0,inf,0.0,0.0,0.0,0
10,193,0,inf,0.0,0.0,0.0,0
11,235,0,inf,0.0,0.0,0.0,0
12,246,0,inf,0.0,0.0,0.0,0
13,255,0,inf,0.0,0.0,0.0,0
14,297,0,inf,0.0,0.0,0.0,0
15,308,0,inf,0.0,0.0,0.0,0
16,317,0,inf,0.0,0.0,0.0,0
17,359,0,inf,0.0,0.0,0.0,0
18,370,0,inf,0.0,0.0,0.0,0
19,380,0,inf,0.0,0.0,0.0,0
20,422,0,inf,0.0,0.0,0.0,0
21,433,0,inf,0.0,0.0,0.0,0
22,442,0,inf,0.0,0.0,0.0,0
23,484,0,inf,0.0,0.0,0.0,0
24,495,0,inf,0.0,0.0,0.0,0
25,504,0,inf,0.0,0.0,0.0,0
26,546,0,inf,0.0,0.0,0.0,0
27,557,0,inf,0.0,0.0,0.0,0
28,567,0,inf,0.0,0.0,0.0,0
29,609,0,inf,0.0,0.0,0.0,0
30,620,0,inf,0.0,0.0,0.0,0
31,629,0,inf,0.0,0.0,0.0,0
32,671,0,inf,0.0,0.0,0.0,0
33,682,0,inf,0.0,0.0,0.0,0
34,691,0,inf,0.0,0.0,0.0,0
35,733,0,inf,0.0,0.0,0.0,0
36,744,0,inf,0.0,0.0,0.0,0
37,753,0,inf,0.0,0.0,0.0,0
38,796,0,inf,0.0,0.0,0.0,0
39,807,0,inf,0.0,0.0,0.0,0
40,816,0,inf,0.0,0.0,0.0,0
41,858,0,inf,0.0,0.0,0.0,0
42,869,0,inf,0.0,0.0,0.0,0
43,878,0,inf,0.0,0.0,0.0,0
44,920,0,inf,0.0,0.0,0.0,0
45,931,0,inf,0.0,0.0,0.0,0
46,940,0,inf,0.0,0.0,0.0,0
47,982,0,inf,0.0,0.0,0.0,0
48,993,0,inf,0.0,0.0,0.0,0
49,1003,0,inf,0.0,0.0,0.0,0
50,1045,0,inf,0.0,0.0,0.0,0
51,1056,0,inf,0.0,0.0,0.0,0
52,1065,0,inf,0.0,0.0,0.0,0
53,1107,0,inf,0.0,0.0,0.0,0
54,1118,0,inf,0.0,0.0,0.0,0
55,1127,0,inf,0.0,0.0,0.0,0
56,1169,0,inf,0.0,0.0,0.0,0
57,1180,0,inf,0.0,0.0,0.0,0
58,1190,0,inf,0.0,0.0,0.0,0
59,1232,0,inf,0.0,0.0,0.0,0
60,1243,0,inf,0.0,0.0,0.0,0
61,1252,0,inf,0.0,0.0,0.0,0
62,1294,0,inf,0.0,0.0,0.0,0
63,1305,0,inf,0.0,0.0,0.0,0
64,1314,0,inf,0.0,0.0,0.0,0
65,1356,0,inf,0.0,0.0,0.0,0
66,1367,0,inf,0.0,0.0,0.0,0
67,1376,0,inf,0.0,0.0,0.0,0
68,1419,0,inf,0.0,0.0,0.0,0
69,1430,0,inf,0.0,0.0,0.0,0
70,1439,0,inf,0.0,0.0,0.0,0
71,1481,0,inf,0.0,0.0,0.0,0
72,1492,0,inf,0.0,0.0,0.0,0
73,1501,0,inf,0.0,0.0,0.0,0
74,1543,0,inf,0.0,0.0,0.0,0
75,1554,0,inf,0.0,0.0,0.0,0
76,1563,0,inf,0.0,0.0,0.0,0
77,1606,0,inf,0.0,0.0,0.0,0
78,1617,0,inf,0.0,0.0,0.0,0
79,1626,0,inf,0.0,0.0,0.0,0
80,1668,0,inf,0.0,0.0,0.0,0
81,1679,0,inf,0.0,0.0,0.0,0
82,1688,0,inf,0.0,0.0,0.0,0
83,1730,0,inf,0.0,0.0,0.0,0
84,1741,0,inf,0.0,0.0,0.0,0
85,1750,0,inf,0.0,0.0,0.0,0
86,1792,0,inf,0.0,0.0,0.0,0
87,1803,0,inf,0.0,0.0,0.0,0
88,1813,0,inf,0.0,0.0,0.0,0
89,1855,0,inf,0.0,0.0,0.0,0
90,1866,0,inf,0.0,0.0,0.0,0
91,1875,0,inf,0.0,0.0,0.0,0
92,1917,0,inf,0.0,0.0,0.0,0
93,1928,0,inf,0.0,0.0,0.0,0
94,1937,0,inf,0.0,0.0,0.0,0
95,1979,0,inf,0.0,0.0,0.0,0
96,1990,0,inf,0.0,0.0,0.0,0
97,2000,0,inf,0.0,0.0,0.0,0
98,2042,0,inf,0.0,0.0,0.0,0
99,2053,0,inf,0.0,0.0,0.0,0
100,2062,0,inf,0.0,0.0,0.0,0
