DEBUG flwr 2023-04-09 02:37:30,810 | server.py:179 | evaluate_round 13 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:37:30,810 | server.py:215 | fit_round 14: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:37:35,852 | server.py:229 | fit_round 14 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:37:35,854 | server.py:165 | evaluate_round 14: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:37:46,064 | server.py:179 | evaluate_round 14 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:37:46,064 | server.py:215 | fit_round 15: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:37:51,129 | server.py:229 | fit_round 15 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:37:51,130 | server.py:165 | evaluate_round 15: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:38:01,322 | server.py:179 | evaluate_round 15 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:38:01,322 | server.py:215 | fit_round 16: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:38:06,383 | server.py:229 | fit_round 16 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:38:06,384 | server.py:165 | evaluate_round 16: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:38:16,625 | server.py:179 | evaluate_round 16 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:38:16,625 | server.py:215 | fit_round 17: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:38:21,677 | server.py:229 | fit_round 17 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:38:21,678 | server.py:165 | evaluate_round 17: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:38:32,065 | server.py:179 | evaluate_round 17 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:38:32,065 | server.py:215 | fit_round 18: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:38:37,137 | server.py:229 | fit_round 18 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:38:37,138 | server.py:165 | evaluate_round 18: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:38:47,394 | server.py:179 | evaluate_round 18 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:38:47,394 | server.py:215 | fit_round 19: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:38:52,466 | server.py:229 | fit_round 19 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:38:52,468 | server.py:165 | evaluate_round 19: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:39:02,646 | server.py:179 | evaluate_round 19 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:39:02,646 | server.py:215 | fit_round 20: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:39:07,699 | server.py:229 | fit_round 20 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:39:07,700 | server.py:165 | evaluate_round 20: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:39:17,825 | server.py:179 | evaluate_round 20 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:39:17,825 | server.py:215 | fit_round 21: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:39:22,859 | server.py:229 | fit_round 21 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:39:22,860 | server.py:165 | evaluate_round 21: strategy sampled 1 clients (out of 1)
