Round,Sim Time [s],Accuracy,Loss,Precision,Recall,F-score,prog [%]
1,4,0.11033274956217162,0.26266365859508517,0.049589297837353025,0.11033274956217162,0.050677125179462906,11.43
2,49,0.18179829359002406,1.0456061526060105,0.2816878628587186,0.18179829359002406,0.12150896390199917,45.72
3,61,0.22549591598599766,0.7502386361122131,0.21811176661020118,0.22549591598599766,0.17888902616180222,34.29
4,106,0.25464887333187486,0.9354413566887378,0.25132656321864266,0.25464887333187486,0.21576876203738957,45.72
5,118,0.29813302217036175,0.670568670925498,0.29319900192293713,0.29813302217036175,0.26592368111983533,34.29
6,163,0.33975060161890175,0.8473384386286139,0.32803116455318543,0.33975060161890175,0.31707855263731954,45.72
7,176,0.3756058158319871,0.6534194821715354,0.3645229797834145,0.3756058158319871,0.3598499956828678,37.15
8,220,0.3992561802669,0.755251423162967,0.38907784199915374,0.3992561802669,0.38618990730147157,45.72
9,233,0.4308023694130318,0.5890062709227204,0.41935855403001726,0.4308023694130318,0.41684878104549244,37.15
10,278,0.44716692189892804,0.7027612228021025,0.43942212573216255,0.44716692189892804,0.436779961784553,45.72
11,290,0.46236872812135354,0.5160280801407993,0.4547020798404976,0.46236872812135354,0.45337377685113667,34.29
12,335,0.47013782542113325,0.6734613121159375,0.46271882002139286,0.47013782542113325,0.4616486186918488,45.72
13,347,0.4822053675612602,0.49777595479413866,0.47332349410376556,0.4822053675612602,0.4736504444988186,34.29
14,392,0.4968278276088383,0.6507352360717952,0.48897284396216373,0.4968278276088383,0.49000206251936346,45.72
15,405,0.5010770059235325,0.5213082521596923,0.4920837468066405,0.5010770059235325,0.492865334389245,37.15
16,449,0.509516517173485,0.6291912944369018,0.5019545555297656,0.509516517173485,0.5024843165545518,45.72
17,462,0.5121163166397416,0.5055686074730009,0.5029229353503814,0.5121163166397416,0.504178450039938,37.15
18,506,0.5226427477576022,0.6108129341279156,0.515104235824485,0.5226427477576022,0.5151371458446427,45.72
19,519,0.5271943995691977,0.4922306476819329,0.5201638195760206,0.5271943995691977,0.5211346947705305,37.15
20,564,0.5355502078319843,0.5956344348334708,0.5295447294880218,0.5355502078319843,0.5296366238612046,45.72
21,576,0.5385064177362894,0.4437616004731506,0.5293970886417853,0.5385064177362894,0.5311096792251235,34.29
22,621,0.547582585867425,0.5817293560930062,0.5412298358416542,0.547582585867425,0.5418036449085376,45.72
23,633,0.5510501750291715,0.4334407631766982,0.5437889066424096,0.5510501750291715,0.545455252467954,34.29
24,678,0.5554583242178954,0.569164017817378,0.5493430721718536,0.5554583242178954,0.5498758763027407,45.72
25,691,0.559504577275175,0.46030728102324064,0.5524839534165157,0.559504577275175,0.5533056004772595,37.15
26,735,0.5679282432728068,0.5568466292690253,0.5625019595673539,0.5679282432728068,0.5634871894691518,45.72
27,748,0.5697361335487345,0.45088910478020555,0.5619588723496045,0.5697361335487345,0.5628168901840883,37.15
28,792,0.576460293152483,0.544571190544893,0.5701531692311864,0.576460293152483,0.5714285133468259,45.72
29,805,0.5831987075928917,0.44150023407776606,0.5768915404863713,0.5831987075928917,0.577560316684212,37.15
30,850,0.5871800481295122,0.5337112853361236,0.5820337725826812,0.5871800481295122,0.5828684200606113,45.72
31,862,0.5892648774795799,0.3998026782097295,0.5829397887371551,0.5892648774795799,0.5837724695138643,34.29
32,907,0.5963684095383942,0.524003827970475,0.5917369742872722,0.5963684095383942,0.5922843452715955,45.72
33,919,0.5953908984830805,0.39294067446913394,0.5891646799231436,0.5953908984830805,0.590725293985253,34.29
34,964,0.603806606869394,0.5159861820386868,0.5979622375326168,0.603806606869394,0.5991896810775079,45.72
35,977,0.6044695745826602,0.41855598689964535,0.5983900072369192,0.6044695745826602,0.5998731759709207,37.15
36,1021,0.6108072631809233,0.5085853946834541,0.6063166710274304,0.6108072631809233,0.6071362285220214,45.72
37,1034,0.6106623586429726,0.41343657016225044,0.6072575682899181,0.6106623586429726,0.6078454523370687,37.15
38,1079,0.6164952964340407,0.5013993322710653,0.6127914449035813,0.6164952964340407,0.6135760574703085,45.72
39,1091,0.6131855309218203,0.37719317175846956,0.6089397444827844,0.6131855309218203,0.6097372834794862,34.29
40,1136,0.6202143950995406,0.49626265497855493,0.6165726000376718,0.6202143950995406,0.6169591379324985,45.72
41,1148,0.6158109684947491,0.3730181220082988,0.610862812070061,0.6158109684947491,0.6120165782786453,34.29
42,1193,0.6254648873331875,0.4899542518034621,0.6215703858580621,0.6254648873331875,0.6222936049387772,45.72
43,1206,0.6225094238018309,0.3987407399189644,0.6184319419104499,0.6225094238018309,0.6192298754247283,37.15
44,1250,0.6304966090570991,0.48544690035161187,0.6269656579432294,0.6304966090570991,0.6278752420453175,45.72
45,1263,0.626278944534195,0.3942796487356478,0.6223656498868778,0.626278944534195,0.6231672869819607,37.15
46,1307,0.6339969372128637,0.4805574856413106,0.630734244387384,0.6339969372128637,0.6317804934807432,45.72
47,1320,0.6278944534194938,0.3909326662068102,0.6244905737941597,0.6278944534194938,0.6250938970152331,37.15
48,1365,0.6396849704659812,0.4764883479488111,0.6363413970363367,0.6396849704659812,0.6375258769598129,45.72
49,1377,0.632438739789965,0.358525420619332,0.6284119745211615,0.632438739789965,0.6297837255718867,34.29
50,1422,0.6414351345438635,0.47270264876042273,0.6387914326073849,0.6414351345438635,0.6393738461833499,45.72
51,1434,0.6376896149358227,0.3555354706968588,0.6333200071933057,0.6376896149358227,0.6347259203216767,34.29
52,1479,0.6453730037190987,0.4692029738165787,0.6426378065919756,0.6453730037190987,0.6435666564579543,45.72
53,1492,0.6424340333871836,0.38129453888674325,0.6387124824064535,0.6424340333871836,0.6399595366712495,37.15
54,1536,0.6466856267775104,0.46696348445416735,0.6448353258059859,0.6466856267775104,0.6448499732900557,45.72
55,1549,0.6459343026386645,0.3798105144519737,0.64260201950618,0.6459343026386645,0.643571227488245,37.15
56,1593,0.651717348501422,0.4645687203027017,0.6504994885769445,0.651717348501422,0.6505444115972192,45.72
57,1606,0.6491653204092622,0.37754917269673094,0.6458484904485423,0.6491653204092622,0.6468881604122735,37.15
58,1651,0.6539050535987749,0.46237928335172657,0.651453600836728,0.6539050535987749,0.6515507980710085,45.72
59,1663,0.6478996499416569,0.3472313429375263,0.6445940438004383,0.6478996499416569,0.6455090115906394,34.29
60,1708,0.6567490702253336,0.45989445497464804,0.6537806516332441,0.6567490702253336,0.6545662716744309,45.72
61,1721,0.6550888529886915,0.3737288735547161,0.6521362847667045,0.6550888529886915,0.6530990373496811,37.15
62,1765,0.6595930868518923,0.4590621012584208,0.6577963232807897,0.6595930868518923,0.6581328335270874,45.72
63,1778,0.6583198707592892,0.37297097456782247,0.6564991047050176,0.6583198707592892,0.6568701655015806,37.15
64,1822,0.6633121855173922,0.4579804754821947,0.6610581981205309,0.6633121855173922,0.6613694891238832,45.72
65,1835,0.6545503500269252,0.3722948802293817,0.6526194144895884,0.6545503500269252,0.6525844578108679,37.15
66,1880,0.6628746444979217,0.45617566725653613,0.6615109318244546,0.6628746444979217,0.6615607875956764,45.72
67,1892,0.661318553092182,0.3423552911130497,0.6595917501377441,0.661318553092182,0.6594132014790784,34.29
68,1937,0.6626558739881864,0.4563293829914282,0.6606772733605372,0.6626558739881864,0.6608841165672611,45.72
69,1949,0.6589848308051341,0.3416773081350445,0.6569698375915117,0.6589848308051341,0.6569010562174689,34.29
