Round,Real Time[s],Sim Time[s],Accuracy,Loss,Precision,Recall,F-score,received,failure,p_rate[%],ios_time
1,65.17397304,100,0.871,0.431832552,0.871235363,0.871,0.870576552,1,0,100,59.47640581
2,126.2819934,200,0.9065,0.306393564,0.906890585,0.9065,0.906270182,1,0,100,129.0933215
3,186.0323713,300,0.9291,0.243697509,0.929626514,0.9291,0.929205499,1,0,100,201.2229611
4,245.9189657,400,0.9315,0.224496514,0.931792917,0.9315,0.931489128,1,0,100,279.284129
5,303.7919833,500,0.9405,0.207722425,0.940609642,0.9405,0.940448809,1,0,100,362.766036
6,362.6776565,600,0.9426,0.186722204,0.942650075,0.9426,0.942476285,1,0,100,447.5948829
7,424.3377973,700,0.9455,0.181136429,0.94557733,0.9455,0.945476214,1,0,100,533.712995
8,482.5917275,800,0.9486,0.170730397,0.949063993,0.9486,0.948631599,1,0,100,622.2034238
9,544.7328943,900,0.9516,0.163518131,0.951756522,0.9516,0.951520697,1,0,100,712.9016808
10,602.9354507,1000,0.9533,0.162536711,0.953521313,0.9533,0.953304971,1,0,100,805.6258197
11,660.7621331,1100,0.9527,0.165552586,0.952850538,0.9527,0.952679571,1,0,100,898.2138335
12,719.1738121,1200,0.9566,0.152283594,0.956784811,0.9566,0.956576488,1,0,100,991.5470645
13,777.25591,1300,0.9582,0.148930803,0.958374875,0.9582,0.958164417,1,0,100,1087.13259
14,835.3496474,1400,0.9588,0.139984176,0.95875111,0.9588,0.958743672,1,0,100,1183.996152
15,893.6295687,1500,0.9575,0.144256324,0.957625028,0.9575,0.95748686,1,0,100,1280.7923
16,952.2834786,1600,0.9609,0.137756392,0.96094811,0.9609,0.960851802,1,0,100,1378.458836
17,1015.897111,1700,0.9607,0.129495978,0.960767197,0.9607,0.960666534,1,0,100,1477.361193
18,1076.750669,1800,0.9618,0.136678189,0.962021515,0.9618,0.961726956,1,0,100,1577.071754
19,1137.982573,1900,0.9636,0.126614943,0.963638914,0.9636,0.963566831,1,0,100,1677.001424
20,1202.594399,2000,0.9627,0.129995555,0.962800051,0.9627,0.962689042,1,0,100,1777.808316
21,1261.413185,2100,0.9642,0.121349894,0.96422103,0.9642,0.964189857,1,0,100,1880.425009
22,1321.182123,2200,0.9635,0.123169176,0.963595759,0.9635,0.9635068,1,0,100,1982.795882
23,1379.204198,2300,0.9658,0.12417306,0.965845676,0.9658,0.965780236,1,0,100,2086.11947
24,1437.491943,2400,0.9625,0.127017334,0.962592015,0.9625,0.962479589,1,0,100,2189.393369
25,1495.563809,2500,0.9687,0.113609903,0.968734244,0.9687,0.968680809,1,0,100,2293.298513
26,1553.654462,2600,0.965,0.114797972,0.96503872,0.965,0.964951621,1,0,100,2397.280584
27,1611.31497,2700,0.963,0.115286931,0.963019291,0.963,0.962943603,1,0,100,2501.131409
28,1668.496935,2800,0.9679,0.112389363,0.967932996,0.9679,0.967885222,1,0,100,2606.363511
29,1725.700243,2900,0.9662,0.117284209,0.966232821,0.9662,0.966183718,1,0,100,2711.787513
30,1782.900779,3000,0.9682,0.114808865,0.968212999,0.9682,0.968169097,1,0,100,2818.735226
31,1841.586526,3100,0.967,0.112275206,0.96707665,0.967,0.966985098,1,0,100,2926.457669
32,1900.118789,3200,0.966,0.116612285,0.966089133,0.966,0.966000264,1,0,100,3033.443875
33,1957.66374,3300,0.9703,0.107318275,0.970303047,0.9703,0.970273666,1,0,100,3141.46087
34,2015.990993,3400,0.9689,0.111545011,0.96891338,0.9689,0.968872709,1,0,100,3250.027777
35,2073.455092,3500,0.9649,0.115016028,0.964961912,0.9649,0.96487406,1,0,100,3358.749522
36,2130.891322,3600,0.9692,0.110704944,0.969224566,0.9692,0.969181529,1,0,100,3468.692539
37,2189.046344,3700,0.9676,0.103245884,0.967620519,0.9676,0.967595853,1,0,100,3577.830793
38,2247.406513,3800,0.9722,0.096755348,0.972247888,0.9722,0.972196672,1,0,100,3688.522677
39,2306.202398,3900,0.9699,0.107838206,0.969974848,0.9699,0.969884748,1,0,100,3798.688317
