Round,Real Time[s],Sim Time[s],Accuracy,Loss,Precision,Recall,F-score,receved,failue,p_rate[%]
90,55278.67191,3600,0.64546455,1.03932822,,,,18,17,51.4285714
91,55889.016,3640,0.64526453,1.03876364,,,,15,20,42.8571429
92,56515.66636,3680,0.64366437,1.03865099,,,,15,20,42.8571429
93,57149.29747,3720,0.6429643,1.03830493,,,,15,20,42.8571429
94,57772.02465,3760,0.64406441,1.0377121,,,,15,20,42.8571429
95,58398.06145,3800,0.64316432,1.03769851,,,,18,17,51.4285714
96,59022.31484,3840,0.64306431,1.0371573,,,,15,20,42.8571429
97,59657.54244,3880,0.64256426,1.03689241,,,,17,18,48.5714286
98,60281.18277,3920,0.64076408,1.03670514,,,,19,16,54.2857143
99,60906.36458,3960,0.64416442,1.03664374,,,,17,18,48.5714286
100,61533.17024,4000,0.64306431,1.03653991,,,,17,18,48.5714286
