INFO flwr 2023-04-06 15:41:00,997 | grpc.py:50 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2023-04-06 15:41:00,999 | connection.py:38 | ChannelConnectivity.IDLE
DEBUG flwr 2023-04-06 15:41:01,001 | connection.py:38 | ChannelConnectivity.CONNECTING
DEBUG flwr 2023-04-06 15:41:01,017 | connection.py:38 | ChannelConnectivity.READY
