INFO flwr 2023-04-06 15:41:04,457 | grpc.py:50 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2023-04-06 15:41:04,469 | connection.py:38 | ChannelConnectivity.IDLE
DEBUG flwr 2023-04-06 15:41:04,488 | connection.py:38 | ChannelConnectivity.CONNECTING
DEBUG flwr 2023-04-06 15:41:04,499 | connection.py:38 | ChannelConnectivity.READY
