INFO flwr 2023-04-06 15:40:55,310 | grpc.py:50 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2023-04-06 15:40:55,335 | connection.py:38 | ChannelConnectivity.IDLE
DEBUG flwr 2023-04-06 15:40:55,338 | connection.py:38 | ChannelConnectivity.CONNECTING
DEBUG flwr 2023-04-06 15:40:55,343 | connection.py:38 | ChannelConnectivity.READY
