INFO flwr 2023-04-06 15:40:42,877 | grpc.py:50 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2023-04-06 15:40:42,879 | connection.py:38 | ChannelConnectivity.IDLE
DEBUG flwr 2023-04-06 15:40:42,880 | connection.py:38 | ChannelConnectivity.CONNECTING
DEBUG flwr 2023-04-06 15:40:42,900 | connection.py:38 | ChannelConnectivity.READY
