INFO flwr 2023-04-06 15:41:02,711 | grpc.py:50 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2023-04-06 15:41:02,714 | connection.py:38 | ChannelConnectivity.IDLE
DEBUG flwr 2023-04-06 15:41:02,719 | connection.py:38 | ChannelConnectivity.CONNECTING
DEBUG flwr 2023-04-06 15:41:02,734 | connection.py:38 | ChannelConnectivity.READY
