INFO flwr 2023-04-06 15:40:59,321 | grpc.py:50 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2023-04-06 15:40:59,348 | connection.py:38 | ChannelConnectivity.IDLE
DEBUG flwr 2023-04-06 15:40:59,417 | connection.py:38 | ChannelConnectivity.CONNECTING
DEBUG flwr 2023-04-06 15:40:59,447 | connection.py:38 | ChannelConnectivity.READY
