INFO flwr 2023-04-06 15:40:37,744 | grpc.py:50 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2023-04-06 15:40:37,747 | connection.py:38 | ChannelConnectivity.IDLE
DEBUG flwr 2023-04-06 15:40:37,826 | connection.py:38 | ChannelConnectivity.CONNECTING
DEBUG flwr 2023-04-06 15:40:37,871 | connection.py:38 | ChannelConnectivity.READY
