Round,Real Time[s],Sim Time[s],Accuracy,Loss,Precision,Recall,F-score,received,failure,p_rate[%],ios_time
1,88.24182813,100,0.8509,0.479180753,0.850318829,0.8509,0.850313426,1,0,100,47.0704267
2,154.4705988,200,0.8984,0.33406809,0.899101101,0.8984,0.898336651,1,0,100,95.5436008
3,219.2806842,300,0.9176,0.279301852,0.91785218,0.9176,0.917520091,1,0,100,150.7138398
4,286.8237802,400,0.9265,0.238338321,0.926640511,0.9265,0.926470282,1,0,100,209.1561048
5,354.9606809,500,0.9349,0.229054198,0.935096625,0.9349,0.934776774,1,0,100,267.8372498
6,422.8121413,600,0.9447,0.191283673,0.944982314,0.9447,0.944755832,1,0,100,327.3358877
7,493.211248,700,0.944,0.187241808,0.943945723,0.944,0.943906043,1,0,100,388.2586639
8,558.2445143,800,0.9474,0.18324697,0.947492122,0.9474,0.947366092,1,0,100,456.9196637
9,625.2857561,900,0.9464,0.172584981,0.946716598,0.9464,0.946444723,1,0,100,533.2626307
10,692.6529143,1000,0.9507,0.163050666,0.950972384,0.9507,0.95072149,1,0,100,614.0968368
11,760.55044,1100,0.9492,0.163734704,0.949671919,0.9492,0.949187902,1,0,100,696.5582929
12,827.855467,1200,0.9579,0.149927586,0.958065716,0.9579,0.957898637,1,0,100,781.6607378
13,893.9448011,1300,0.9583,0.149792984,0.958353106,0.9583,0.958290614,1,0,100,867.6663377
14,961.9304473,1400,0.9582,0.137433589,0.958324285,0.9582,0.958203446,1,0,100,956.4954038
15,1029.198568,1500,0.9577,0.141320512,0.957795896,0.9577,0.957682471,1,0,100,1047.549946
16,1096.815699,1600,0.9621,0.138356686,0.962169238,0.9621,0.962075537,1,0,100,1141.98934
17,1165.092276,1700,0.9586,0.136806548,0.958677231,0.9586,0.958586849,1,0,100,1238.189961
18,1233.616678,1800,0.9601,0.138194695,0.960316396,0.9601,0.960117177,1,0,100,1340.067256
19,1300.151035,1900,0.9602,0.132457212,0.960262204,0.9602,0.960176962,1,0,100,1444.127457
