Round,Time [s],Accuracy,Loss,Precision,Recall,F-score
1,63.035538333,0.864,0.44021602106521585,0.8650872350231579,0.864,0.8641178060410734
2,127.125279208,0.903,0.3252387470095443,0.9033522568128346,0.903,0.9029343693497558
3,190.544335208,0.9262,0.24797399944414247,0.9263718657265992,0.9262,0.926205093469321
4,253.552183541,0.9346,0.22461147352067407,0.9348346720555706,0.9346,0.9345780165794549
5,318.133252791,0.9409,0.1994910038920425,0.9409692384448118,0.9409,0.9408482255560673
6,378.022896458,0.9419,0.1970433422368683,0.9421043347482925,0.9419,0.9417631762818759
7,438.329459416,0.9482,0.17666900345723716,0.948361091263824,0.9482,0.9482137839547884
8,498.802974708,0.9464,0.17193363247704893,0.9464371606414059,0.9464,0.9463300569981457
9,560.48704325,0.9521,0.1553929268621856,0.9523270400803474,0.9521,0.9520569710780559
10,623.991513625,0.9562,0.15583238615544023,0.9563012003091782,0.9562,0.9561969182883008
11,684.786742166,0.9574,0.14211978576740725,0.9575515668705659,0.9574,0.9574235356904708
12,748.412184125,0.959,0.14558322014083389,0.9591259256294208,0.959,0.9589907499050901
13,812.650071041,0.9568,0.14396694592999923,0.9568549565062489,0.9568,0.9567749899765732
14,875.69894575,0.9597,0.13594757230001803,0.959834166683927,0.9597,0.9596921163118839
15,937.6767605,0.9587,0.1375975202850858,0.9588937420758009,0.9587,0.9587021747575307
16,997.725090375,0.9587,0.13516264429067573,0.9588501969652865,0.9587,0.9587050742440879
17,1058.902826458,0.9591,0.13719984841924304,0.9591867872170003,0.9591,0.9590925092179343
18,1118.951560541,0.9614,0.12767461051572818,0.9615061948476756,0.9614,0.9613378781258429
19,1178.922402208,0.9639,0.12084659393157239,0.9639666510547471,0.9639,0.9638608685676874
20,1238.772034041,0.9634,0.12497774428789128,0.9635258863379093,0.9634,0.9633646906603898
21,1298.473302916,0.9615,0.12366630319492278,0.9615473059831203,0.9615,0.961497808860027
22,1358.54832525,0.9656,0.1158958802317125,0.965753297100531,0.9656,0.9656083554380788
23,1418.312660666,0.963,0.12213975142060145,0.9631646328569681,0.963,0.9629805507540765
24,1478.27048625,0.9628,0.12205822082583492,0.962906364231493,0.9628,0.9627944456149937
25,1538.201484166,0.9642,0.12115909467203674,0.9642578229561918,0.9642,0.9641970496639632
