Round,Real Time[s],Sim Time[s],Accuracy,Loss,Precision,Recall,F-score,received,failure,p_rate[%],ios_time
55,3414.673595,5500,0.969,0.103362374,0.969075558,0.969,0.968982984,1,0,100,4980.357239
56,3474.76015,5600,0.9736,0.09338735,0.973628398,0.9736,0.973598584,1,0,100,5083.698221
57,3538.276801,5700,0.9698,0.099147066,0.969872525,0.9698,0.969760421,1,0,100,5186.789121
58,3602.359171,5800,0.9732,0.093660355,0.973238754,0.9732,0.973182417,1,0,100,5289.85812
59,3667.323663,5900,0.9702,0.098415464,0.970254101,0.9702,0.970189351,1,0,100,5392.711145
60,3731.814158,6000,0.9723,0.102815926,0.972321322,0.9723,0.972293138,1,0,100,5495.850092
61,3798.041241,6100,0.9709,0.091642201,0.970971524,0.9709,0.970882922,1,0,100,5598.660546
62,3861.800627,6200,0.9741,0.093209751,0.974149487,0.9741,0.97410019,1,0,100,5701.465125
63,3925.181184,6300,0.9702,0.101366311,0.970230692,0.9702,0.970174597,1,0,100,5804.431694
64,3988.599366,6400,0.9713,0.10369017,0.971305706,0.9713,0.971269224,1,0,100,5906.276263
65,4054.193511,6500,0.9705,0.099873908,0.97052155,0.9705,0.970491609,1,0,100,6010.247664
66,4117.139796,6600,0.9716,0.09318848,0.971641895,0.9716,0.971594622,1,0,100,6112.715998
67,4181.945617,6700,0.9718,0.09615916,0.971880004,0.9718,0.971779766,1,0,100,6215.337919
68,4245.587597,6800,0.9709,0.096980356,0.970936416,0.9709,0.970882686,1,0,100,6317.782815
69,4307.752875,6900,0.9729,0.094220594,0.972896063,0.9729,0.97286776,1,0,100,6422.320011
70,4367.997351,7000,0.9737,0.097288877,0.973699939,0.9737,0.973692548,1,0,100,6524.305613
71,4431.584691,7100,0.9728,0.093080297,0.972864172,0.9728,0.972801334,1,0,100,6626.775737
72,4495.649099,7200,0.9718,0.103553347,0.97179482,0.9718,0.971783573,1,0,100,6729.244344
73,4556.52216,7300,0.9734,0.089979045,0.973464264,0.9734,0.973384343,1,0,100,6832.811687
74,4619.785969,7400,0.9719,0.101863176,0.971940591,0.9719,0.971881821,1,0,100,6947.273715
75,4681.558018,7500,0.9737,0.095360257,0.973726992,0.9737,0.973687937,1,0,100,7049.86528
76,4741.852253,7600,0.9718,0.096469477,0.971937316,0.9718,0.971779567,1,0,100,7153.948845
77,4799.826999,7700,0.9723,0.106915936,0.972419421,0.9723,0.972284946,1,0,100,7258.884953
78,4858.415282,7800,0.9704,0.098498613,0.970469854,0.9704,0.970411153,1,0,100,7363.038976
79,4925.746254,7900,0.9727,0.088280573,0.972760906,0.9727,0.97269577,1,0,100,7465.851712
80,4990.070102,8000,0.9722,0.093474753,0.972226196,0.9722,0.972181799,1,0,100,7568.611691
81,5049.89026,8100,0.9729,0.089660093,0.97293784,0.9729,0.972900651,1,0,100,7673.104075
82,5109.213743,8200,0.9738,0.097066291,0.973815252,0.9738,0.9737876,1,0,100,7775.311438
