Round,Sim Time [s],Accuracy,Loss,Precision,Recall,F-score,prog [%]
1,36,0,inf,0.0,0.0,0.0,0
2,49,0,inf,0.0,0.0,0.0,0
3,94,0,inf,0.0,0.0,0.0,0
4,107,0,inf,0.0,0.0,0.0,0
5,152,0,inf,0.0,0.0,0.0,0
6,166,0,inf,0.0,0.0,0.0,0
7,211,0,inf,0.0,0.0,0.0,0
8,224,0,inf,0.0,0.0,0.0,0
9,269,0,inf,0.0,0.0,0.0,0
10,282,0,inf,0.0,0.0,0.0,0
11,327,0,inf,0.0,0.0,0.0,0
12,340,0,inf,0.0,0.0,0.0,0
13,385,0,inf,0.0,0.0,0.0,0
14,398,0,inf,0.0,0.0,0.0,0
15,444,0,inf,0.0,0.0,0.0,0
16,457,0,inf,0.0,0.0,0.0,0
17,502,0,inf,0.0,0.0,0.0,0
18,515,0,inf,0.0,0.0,0.0,0
19,560,0,inf,0.0,0.0,0.0,0
20,573,0,inf,0.0,0.0,0.0,0
21,618,0,inf,0.0,0.0,0.0,0
22,631,0,inf,0.0,0.0,0.0,0
23,676,0,inf,0.0,0.0,0.0,0
24,689,0,inf,0.0,0.0,0.0,0
25,735,0,inf,0.0,0.0,0.0,0
26,748,0,inf,0.0,0.0,0.0,0
27,793,0,inf,0.0,0.0,0.0,0
28,806,0,inf,0.0,0.0,0.0,0
29,851,0,inf,0.0,0.0,0.0,0
30,864,0,inf,0.0,0.0,0.0,0
31,909,0,inf,0.0,0.0,0.0,0
32,922,0,inf,0.0,0.0,0.0,0
33,967,0,inf,0.0,0.0,0.0,0
34,981,0,inf,0.0,0.0,0.0,0
35,1026,0,inf,0.0,0.0,0.0,0
36,1039,0,inf,0.0,0.0,0.0,0
37,1084,0,inf,0.0,0.0,0.0,0
38,1097,0,inf,0.0,0.0,0.0,0
39,1142,0,inf,0.0,0.0,0.0,0
40,1155,0,inf,0.0,0.0,0.0,0
41,1200,0,inf,0.0,0.0,0.0,0
42,1213,0,inf,0.0,0.0,0.0,0
43,1258,0,inf,0.0,0.0,0.0,0
44,1272,0,inf,0.0,0.0,0.0,0
45,1317,0,inf,0.0,0.0,0.0,0
46,1330,0,inf,0.0,0.0,0.0,0
47,1375,0,inf,0.0,0.0,0.0,0
48,1388,0,inf,0.0,0.0,0.0,0
49,1433,0,inf,0.0,0.0,0.0,0
50,1446,0,inf,0.0,0.0,0.0,0
51,1491,0,inf,0.0,0.0,0.0,0
52,1504,0,inf,0.0,0.0,0.0,0
53,1550,0,inf,0.0,0.0,0.0,0
54,1563,0,inf,0.0,0.0,0.0,0
55,1608,0,inf,0.0,0.0,0.0,0
56,1621,0,inf,0.0,0.0,0.0,0
57,1666,0,inf,0.0,0.0,0.0,0
58,1679,0,inf,0.0,0.0,0.0,0
59,1724,0,inf,0.0,0.0,0.0,0
60,1737,0,inf,0.0,0.0,0.0,0
61,1782,0,inf,0.0,0.0,0.0,0
62,1795,0,inf,0.0,0.0,0.0,0
63,1841,0,inf,0.0,0.0,0.0,0
64,1854,0,inf,0.0,0.0,0.0,0
65,1899,0,inf,0.0,0.0,0.0,0
66,1912,0,inf,0.0,0.0,0.0,0
67,1957,0,inf,0.0,0.0,0.0,0
68,1970,0,inf,0.0,0.0,0.0,0
69,2015,0,inf,0.0,0.0,0.0,0
70,2028,0,inf,0.0,0.0,0.0,0
71,2073,0,inf,0.0,0.0,0.0,0
72,2086,0,inf,0.0,0.0,0.0,0
73,2132,0,inf,0.0,0.0,0.0,0
74,2145,0,inf,0.0,0.0,0.0,0
75,2190,0,inf,0.0,0.0,0.0,0
76,2203,0,inf,0.0,0.0,0.0,0
77,2248,0,inf,0.0,0.0,0.0,0
78,2261,0,inf,0.0,0.0,0.0,0
79,2306,0,inf,0.0,0.0,0.0,0
80,2319,0,inf,0.0,0.0,0.0,0
81,2364,0,inf,0.0,0.0,0.0,0
82,2378,0,inf,0.0,0.0,0.0,0
83,2423,0,inf,0.0,0.0,0.0,0
84,2436,0,inf,0.0,0.0,0.0,0
85,2481,0,inf,0.0,0.0,0.0,0
86,2494,0,inf,0.0,0.0,0.0,0
87,2539,0,inf,0.0,0.0,0.0,0
88,2552,0,inf,0.0,0.0,0.0,0
89,2597,0,inf,0.0,0.0,0.0,0
90,2610,0,inf,0.0,0.0,0.0,0
91,2655,0,inf,0.0,0.0,0.0,0
92,2669,0,inf,0.0,0.0,0.0,0
93,2714,0,inf,0.0,0.0,0.0,0
94,2727,0,inf,0.0,0.0,0.0,0
95,2772,0,inf,0.0,0.0,0.0,0
96,2785,0,inf,0.0,0.0,0.0,0
97,2830,0,inf,0.0,0.0,0.0,0
98,2843,0,inf,0.0,0.0,0.0,0
99,2888,0,inf,0.0,0.0,0.0,0
100,2901,0,inf,0.0,0.0,0.0,0
