Round,Real Time[s],Sim Time[s],Accuracy,Loss,receved,failue,p_rate[%]
1,27.083151833,30,0.09938742342792849,1.8411827087402344,1,0,100.0
2,48.729836208,60,0.15664458057257158,1.835484504699707,1,0,100.0
3,70.299183916,90,0.19564945618202276,1.8014596700668335,1,0,100.0
4,91.715557916,120,0.25003125390673836,1.6392019987106323,1,0,100.0
5,113.154468458,150,0.30391298912364045,1.5530554056167603,1,0,100.0
6,134.5670515,180,0.32391548943617954,1.4965378046035767,1,0,100.0
7,155.830481583,210,0.35729466183272907,1.4382930994033813,1,0,100.0
8,177.00152175,240,0.37742217777222153,1.3887540102005005,1,0,100.0
9,198.264667416,270,0.40042505313164145,1.3300998210906982,1,0,100.0
10,219.3469135,300,0.4164270533816727,1.2792425155639648,1,0,100.0
11,240.618474833,330,0.42592824103012883,1.2835557460784912,1,0,100.0
12,262.050635458,360,0.4350543817977247,1.2419259548187256,1,0,100.0
13,283.531746666,390,0.4528066008251031,1.1883820295333862,1,0,100.0
14,304.978998375,420,0.4599324915614452,1.170722484588623,1,0,100.0
15,326.29397375,450,0.48931116389548696,1.1302636861801147,1,0,100.0
16,347.873449125,480,0.49643705463182897,1.1237621307373047,1,0,100.0
17,369.235652583,510,0.5028128516064508,1.098046064376831,1,0,100.0
18,390.670409708,540,0.51131391423928,1.0804485082626343,1,0,100.0
19,412.020054375,570,0.5160645080635079,1.0652134418487549,1,0,100.0
20,433.370272666,600,0.5264408051006376,1.049362301826477,1,0,100.0
21,454.738583958,630,0.5225653206650831,1.0644135475158691,1,0,100.0
22,476.107984791,660,0.5376922115264408,1.0320250988006592,1,0,100.0
23,497.498885666,690,0.5413176647080885,1.0164363384246826,1,0,100.0
24,518.853500541,720,0.5531941492686586,1.0075316429138184,1,0,100.0
25,540.1940325,750,0.5389423677959745,1.019209623336792,1,0,100.0
26,561.591199416,780,0.560445055631954,0.9811233282089233,1,0,100.0
27,583.048987166,810,0.5663207900987623,0.9702838659286499,1,0,100.0
28,604.41756375,840,0.568571071383923,0.9652936458587646,1,0,100.0
29,625.874876541,870,0.5708213526690836,0.9714628458023071,1,0,100.0
30,647.233553583,900,0.5774471808976122,0.9425863027572632,1,0,100.0
31,668.7528235,930,0.5833229153644206,0.9433053731918335,1,0,100.0
32,690.371986916,960,0.5815726965870733,0.9316599369049072,1,0,100.0
33,711.724404541,990,0.5870733841730216,0.9259499907493591,1,0,100.0
34,733.180695708,1020,0.593949243655457,0.9138019680976868,1,0,100.0
35,754.689301916,1050,0.5870733841730216,0.9239339828491211,1,0,100.0
36,776.1322025,1080,0.5998249781222653,0.9015726447105408,1,0,100.0
37,797.533295375,1110,0.6012001500187524,0.9026203155517578,1,0,100.0
38,818.95509175,1140,0.6054506813351669,0.8925622701644897,1,0,100.0
39,840.357986208,1170,0.6020752594074259,0.8950675129890442,1,0,100.0
40,861.828082791,1200,0.61632704088011,0.8832851052284241,1,0,100.0
41,883.312283625,1230,0.6127015876984623,0.881013810634613,1,0,100.0
42,904.772709375,1260,0.6168271033879235,0.877997100353241,1,0,100.0
43,926.244036583,1290,0.6174521815226903,0.8711944222450256,1,0,100.0
44,947.681296291,1320,0.6157019627453432,0.8717182874679565,1,0,100.0
45,969.175038125,1350,0.6252031503937993,0.8581457138061523,1,0,100.0
46,990.57486975,1380,0.6250781347668458,0.8589315414428711,1,0,100.0
47,1012.034314583,1410,0.6234529316164521,0.8557695150375366,1,0,100.0
48,1033.508539375,1440,0.6288286035754469,0.8547425866127014,1,0,100.0
49,1054.841138958,1470,0.632579072384048,0.8495945334434509,1,0,100.0
50,1076.217891541,1500,0.6334541817727216,0.8475458025932312,1,0,100.0
51,1097.652582166,1530,0.633954244280535,0.8399187922477722,1,0,100.0
52,1119.016184333,1560,0.6352044005500688,0.8385652899742126,1,0,100.0
53,1140.468648875,1590,0.6355794474309289,0.834878146648407,1,0,100.0
54,1161.962688208,1620,0.6350793849231154,0.8416360020637512,1,0,100.0
55,1183.708329708,1650,0.6369546193274159,0.8345913290977478,1,0,100.0
56,1205.247324583,1680,0.6420802600325041,0.8266013264656067,1,0,100.0
57,1226.621749666,1710,0.6429553694211777,0.8297231197357178,1,0,100.0
58,1249.080041,1740,0.6428303537942243,0.8241443037986755,1,0,100.0
59,1271.411323458,1770,0.6427053381672709,0.8256883025169373,1,0,100.0
60,1293.54528475,1800,0.6342042755344418,0.8397694230079651,1,0,100.0
61,1315.616729958,1830,0.6357044630578822,0.8351925611495972,1,0,100.0
62,1337.585671,1860,0.6435804475559445,0.8211566209793091,1,0,100.0
63,1359.586825791,1890,0.6478309788723591,0.8164893388748169,1,0,100.0
64,1381.698983541,1920,0.6444555569446181,0.8278317451477051,1,0,100.0
65,1403.680526708,1950,0.6429553694211777,0.8271414637565613,1,0,100.0
66,1425.493116833,1980,0.647455931991499,0.8178666830062866,1,0,100.0
67,1447.405978125,2010,0.6382047755969497,0.851083517074585,1,0,100.0
68,1469.537169291,2040,0.6453306663332916,0.8371856808662415,1,0,100.0
69,1491.554321708,2070,0.6477059632454056,0.8197208642959595,1,0,100.0
70,1513.670128083,2100,0.6482060257532192,0.82261061668396,1,0,100.0
71,1535.830114791,2130,0.6483310413801725,0.8283511400222778,1,0,100.0
72,1558.026613583,2160,0.6460807600950119,0.8320455551147461,1,0,100.0
73,1579.962720166,2190,0.645455681960245,0.8247101902961731,1,0,100.0
74,1602.002362583,2220,0.6459557444680585,0.8261144757270813,1,0,100.0
75,1624.072288416,2250,0.6458307288411052,0.8295802474021912,1,0,100.0
76,1646.217639291,2280,0.6475809476184523,0.8313183188438416,1,0,100.0
77,1668.294962375,2310,0.6540817602200275,0.8253898620605469,1,0,100.0
78,1690.359039041,2340,0.6472059007375922,0.8339053988456726,1,0,100.0
79,1712.558973833,2370,0.6525815726965871,0.831032931804657,1,0,100.0
80,1734.602221041,2400,0.6547068383547944,0.8312828540802002,1,0,100.0
81,1756.747184458,2430,0.653581697712214,0.8288488984107971,1,0,100.0
82,1778.704922625,2460,0.6509563695461933,0.8306586742401123,1,0,100.0
83,1800.6944105,2490,0.6473309163645455,0.8467121720314026,1,0,100.0
84,1822.663964583,2520,0.6479559944993124,0.8523661494255066,1,0,100.0
85,1844.839340583,2550,0.6463307913489186,0.8407474160194397,1,0,100.0
86,1866.895192208,2580,0.6507063382922865,0.8372657895088196,1,0,100.0
87,1889.083988875,2610,0.6499562445305663,0.8362922668457031,1,0,100.0
88,1911.164395583,2640,0.6494561820227528,0.8546474575996399,1,0,100.0
89,1933.3695485,2670,0.6478309788723591,0.8528624773025513,1,0,100.0
90,1955.257506958,2700,0.6478309788723591,0.8507837653160095,1,0,100.0
91,1977.243370125,2730,0.6424553069133642,0.8752831220626831,1,0,100.0
92,1999.396588291,2760,0.6438304788098512,0.8575223684310913,1,0,100.0
93,2021.404941083,2790,0.647455931991499,0.8564557433128357,1,0,100.0
94,2043.495335333,2820,0.6503312914114264,0.8561314344406128,1,0,100.0
95,2065.475034,2850,0.6394549318664833,0.8947895765304565,1,0,100.0
96,2087.512691208,2880,0.6478309788723591,0.8628512620925903,1,0,100.0
97,2109.538556708,2910,0.6409551193899238,0.8852189183235168,1,0,100.0
98,2131.738238958,2940,0.6413301662707839,0.887664258480072,1,0,100.0
99,2153.86852275,2970,0.6433304163020378,0.8716702461242676,1,0,100.0
100,2175.850682708,3000,0.6492061507688461,0.8673520088195801,1,0,100.0
