DEBUG flower 2022-12-21 14:48:28,890 | server.py:179 | evaluate_round 13 received 2 results and 0 failures
DEBUG flower 2022-12-21 14:48:28,890 | server.py:215 | fit_round 14: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 14:51:25,345 | server.py:229 | fit_round 14 received 2 results and 0 failures
DEBUG flower 2022-12-21 14:51:25,347 | server.py:165 | evaluate_round 14: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 14:52:03,419 | server.py:179 | evaluate_round 14 received 1 results and 1 failures
DEBUG flower 2022-12-21 14:52:05,508 | server.py:215 | fit_round 15: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 14:55:14,327 | server.py:229 | fit_round 15 received 2 results and 0 failures
DEBUG flower 2022-12-21 14:55:14,329 | server.py:165 | evaluate_round 15: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 14:55:51,166 | server.py:179 | evaluate_round 15 received 1 results and 1 failures
DEBUG flower 2022-12-21 14:55:53,286 | server.py:215 | fit_round 16: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 14:58:47,452 | server.py:229 | fit_round 16 received 2 results and 0 failures
DEBUG flower 2022-12-21 14:58:47,454 | server.py:165 | evaluate_round 16: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 14:59:23,678 | server.py:179 | evaluate_round 16 received 1 results and 1 failures
DEBUG flower 2022-12-21 14:59:25,295 | server.py:215 | fit_round 17: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 15:02:34,116 | server.py:229 | fit_round 17 received 2 results and 0 failures
DEBUG flower 2022-12-21 15:02:34,118 | server.py:165 | evaluate_round 17: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 15:03:11,606 | server.py:179 | evaluate_round 17 received 1 results and 1 failures
DEBUG flower 2022-12-21 15:03:13,250 | server.py:215 | fit_round 18: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 15:06:39,496 | server.py:229 | fit_round 18 received 2 results and 0 failures
DEBUG flower 2022-12-21 15:06:39,498 | server.py:165 | evaluate_round 18: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 15:07:18,160 | server.py:179 | evaluate_round 18 received 1 results and 1 failures
DEBUG flower 2022-12-21 15:07:20,196 | server.py:215 | fit_round 19: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 15:10:54,619 | server.py:229 | fit_round 19 received 2 results and 0 failures
DEBUG flower 2022-12-21 15:10:54,621 | server.py:165 | evaluate_round 19: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 15:11:31,241 | server.py:179 | evaluate_round 19 received 1 results and 1 failures
