DEBUG flwr 2023-04-13 03:44:22,482 | server.py:179 | evaluate_round 13 received 34 results and 0 failures
DEBUG flwr 2023-04-13 03:44:22,482 | server.py:215 | fit_round 14: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 03:45:11,154 | server.py:229 | fit_round 14 received 34 results and 0 failures
DEBUG flwr 2023-04-13 03:45:11,188 | server.py:165 | evaluate_round 14: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 03:48:39,265 | server.py:179 | evaluate_round 14 received 34 results and 0 failures
DEBUG flwr 2023-04-13 03:48:39,266 | server.py:215 | fit_round 15: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 03:49:27,826 | server.py:229 | fit_round 15 received 34 results and 0 failures
DEBUG flwr 2023-04-13 03:49:27,860 | server.py:165 | evaluate_round 15: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 03:52:55,817 | server.py:179 | evaluate_round 15 received 34 results and 0 failures
DEBUG flwr 2023-04-13 03:52:55,817 | server.py:215 | fit_round 16: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 03:53:46,199 | server.py:229 | fit_round 16 received 34 results and 0 failures
DEBUG flwr 2023-04-13 03:53:46,233 | server.py:165 | evaluate_round 16: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 03:57:14,670 | server.py:179 | evaluate_round 16 received 34 results and 0 failures
DEBUG flwr 2023-04-13 03:57:14,671 | server.py:215 | fit_round 17: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 03:58:04,602 | server.py:229 | fit_round 17 received 34 results and 0 failures
DEBUG flwr 2023-04-13 03:58:04,638 | server.py:165 | evaluate_round 17: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 04:01:33,060 | server.py:179 | evaluate_round 17 received 34 results and 0 failures
DEBUG flwr 2023-04-13 04:01:33,060 | server.py:215 | fit_round 18: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 04:02:24,068 | server.py:229 | fit_round 18 received 34 results and 0 failures
DEBUG flwr 2023-04-13 04:02:24,102 | server.py:165 | evaluate_round 18: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 04:05:51,986 | server.py:179 | evaluate_round 18 received 34 results and 0 failures
DEBUG flwr 2023-04-13 04:05:51,986 | server.py:215 | fit_round 19: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 04:06:41,756 | server.py:229 | fit_round 19 received 34 results and 0 failures
DEBUG flwr 2023-04-13 04:06:41,792 | server.py:165 | evaluate_round 19: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 04:10:09,541 | server.py:179 | evaluate_round 19 received 34 results and 0 failures
DEBUG flwr 2023-04-13 04:10:09,542 | server.py:215 | fit_round 20: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 04:10:59,866 | server.py:229 | fit_round 20 received 34 results and 0 failures
DEBUG flwr 2023-04-13 04:10:59,900 | server.py:165 | evaluate_round 20: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 04:14:26,827 | server.py:179 | evaluate_round 20 received 34 results and 0 failures
DEBUG flwr 2023-04-13 04:14:26,827 | server.py:215 | fit_round 21: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 04:15:17,923 | server.py:229 | fit_round 21 received 34 results and 0 failures
DEBUG flwr 2023-04-13 04:15:17,958 | server.py:165 | evaluate_round 21: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 04:18:45,960 | server.py:179 | evaluate_round 21 received 34 results and 0 failures
DEBUG flwr 2023-04-13 04:18:45,960 | server.py:215 | fit_round 22: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 04:19:35,199 | server.py:229 | fit_round 22 received 34 results and 0 failures
DEBUG flwr 2023-04-13 04:19:35,234 | server.py:165 | evaluate_round 22: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 04:23:03,555 | server.py:179 | evaluate_round 22 received 34 results and 0 failures
DEBUG flwr 2023-04-13 04:23:03,555 | server.py:215 | fit_round 23: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 04:23:52,796 | server.py:229 | fit_round 23 received 34 results and 0 failures
DEBUG flwr 2023-04-13 04:23:52,830 | server.py:165 | evaluate_round 23: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 04:27:23,319 | server.py:179 | evaluate_round 23 received 34 results and 0 failures
DEBUG flwr 2023-04-13 04:27:23,320 | server.py:215 | fit_round 24: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 04:28:13,145 | server.py:229 | fit_round 24 received 34 results and 0 failures
DEBUG flwr 2023-04-13 04:28:13,180 | server.py:165 | evaluate_round 24: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 04:31:40,713 | server.py:179 | evaluate_round 24 received 34 results and 0 failures
DEBUG flwr 2023-04-13 04:31:40,713 | server.py:215 | fit_round 25: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 04:32:30,079 | server.py:229 | fit_round 25 received 34 results and 0 failures
