Battery Level,Elapsed Time
19,0
18,17
20,60
20,71
20,71
20,81
20,82
20,83
20,98
20,104
20,120
20,180
20,240
20,300
20,324
20,324
20,324
20,325
20,326
22,360
22,367
22,368
22,372
22,372
23,415
24,417
24,420
24,420
24,420
25,471
25,472
25,476
25,476
25,480
25,529
25,530
25,534
25,534
26,540
26,588
26,589
26,593
26,593
27,600
27,647
27,649
27,652
27,652
27,660
28,708
28,710
28,714
28,714
28,720
29,776
29,778
29,780
29,783
29,783
30,840
30,852
30,855
30,859
30,859
31,900
31,933
31,935
31,940
31,940
32,960
32,1016
32,1018
32,1020
32,1023
32,1023
33,1080
34,1100
34,1103
34,1108
34,1108
34,1140
35,1187
35,1189
35,1194
35,1194
35,1200
36,1260
36,1275
36,1278
36,1283
36,1283
37,1320
37,1366
37,1369
37,1374
37,1374
37,1380
38,1440
38,1461
38,1463
38,1469
38,1469
39,1500
40,1557
40,1559
40,1560
40,1566
40,1566
41,1620
41,1659
41,1661
41,1668
41,1668
41,1680
42,1740
42,1763
42,1765
42,1772
42,1772
43,1800
44,1860
44,1868
44,1870
44,1877
44,1877
44,1920
45,1973
45,1975
45,1980
45,1982
45,1982
46,2040
46,2079
46,2082
46,2088
46,2088
47,2100
47,2160
48,2186
48,2189
48,2196
48,2196
48,2220
49,2280
49,2295
49,2298
49,2304
49,2304
50,2340
51,2400
51,2405
51,2408
51,2415
51,2415
51,2460
52,2518
52,2520
52,2520
52,2527
52,2527
52,2580
52,2631
52,2634
54,2640
54,2641
54,2641
54,2700
55,2746
55,2749
55,2756
55,2756
55,2760
56,2820
56,2862
56,2865
56,2873
56,2873
57,2880
57,2940
58,2980
58,2983
58,2990
58,2990
58,3000
58,3060
58,3097
58,3100
58,3108
58,3108
58,3120
60,3180
60,3216
61,3219
61,3226
61,3226
61,3240
62,3300
62,3333
62,3336
62,3344
62,3344
62,3360
63,3420
63,3452
63,3455
64,3463
64,3463
64,3480
65,3540
65,3573
65,3576
65,3584
65,3584
65,3600
66,3660
66,3695
67,3698
67,3706
67,3706
67,3720
68,3780
68,3818
68,3821
68,3829
68,3829
68,3840
69,3900
70,3943
70,3946
70,3954
70,3954
70,3960
71,4020
71,4068
71,4071
71,4079
71,4079
71,4080
72,4140
72,4194
73,4197
73,4200
73,4205
73,4205
73,4260
74,4320
74,4321
74,4324
74,4332
74,4332
75,4380
76,4440
76,4448
76,4451
76,4459
76,4459
76,4500
77,4560
77,4574
77,4578
77,4586
77,4586
78,4620
78,4680
79,4702
79,4705
79,4713
79,4713
79,4740
80,4800
80,4828
80,4831
80,4839
80,4839
80,4860
80,4920
80,4938
80,4940
80,4947
80,4947
80,4980
80,5039
80,5040
80,5042
80,5049
80,5049
80,5100
80,5143
80,5146
80,5153
80,5153
80,5160
80,5220
80,5249
80,5252
80,5259
80,5259
80,5280
80,5340
80,5354
80,5357
80,5364
80,5364
80,5400
80,5458
80,5460
80,5461
80,5468
80,5468
80,5520
80,5561
80,5564
80,5571
80,5571
80,5580
80,5640
80,5664
80,5666
80,5673
80,5673
80,5700
80,5760
80,5766
80,5769
80,5776
80,5776
80,5820
80,5869
80,5871
80,5878
80,5878
80,5880
80,5940
80,5971
80,5974
80,5981
80,5981
80,6000
80,6060
80,6074
80,6076
80,6083
80,6083
80,6120
80,6176
80,6178
80,6180
80,6185
80,6185
80,6240
80,6278
80,6281
80,6288
80,6288
80,6300
80,6360
80,6381
80,6383
80,6390
80,6390
80,6420
80,6480
80,6483
80,6486
80,6493
80,6493
80,6540
80,6586
80,6589
80,6595
80,6595
80,6600
80,6660
80,6689
80,6692
80,6698
80,6699
80,6720
80,6780
80,6792
80,6794
80,6801
80,6801
80,6840
80,6894
80,6897
80,6900
80,6904
80,6904
80,6960
80,6997
80,7000
80,7007
80,7007
80,7020
80,7080
80,7101
80,7104
80,7111
80,7111
80,7140
80,7200
80,7205
80,7208
80,7215
80,7215
80,7260
80,7309
80,7312
80,7319
80,7319
80,7320
80,7380
80,7414
80,7416
80,7424
80,7424
80,7440
80,7500
80,7519
80,7521
80,7529
80,7529
80,7560
80,7620
80,7624
80,7627
80,7635
80,7635
80,7680
80,7730
80,7733
80,7740
80,7740
80,7740
80,7800
80,7838
80,7841
80,7848
80,7848
80,7860
80,7920
80,7946
80,7949
80,7957
80,7957
80,7980
80,8040
80,8055
80,8058
80,8065
80,8065
80,8100
80,8160
80,8163
80,8166
80,8173
80,8173
80,8220
80,8271
80,8274
80,8280
80,8282
80,8282
80,8340
80,8380
80,8383
80,8390
80,8390
80,8400
80,8460
80,8489
80,8492
80,8500
80,8500
80,8520
80,8580
80,8599
80,8602
80,8609
80,8609
80,8640
80,8700
80,8708
80,8711
80,8718
80,8718
80,8760
80,8817
80,8820
80,8820
80,8827
80,8827
80,8880
80,8925
80,8928
80,8935
80,8935
80,8940
80,9000
80,9034
80,9037
80,9044
80,9044
80,9060
80,9120
80,9143
80,9146
80,9154
80,9154
80,9180
80,9240
80,9252
80,9255
80,9262
80,9262
80,9300
80,9360
80,9361
80,9364
80,9371
80,9371
80,9420
80,9471
80,9473
80,9480
80,9481
80,9481
80,9540
80,9581
80,9583
80,9591
80,9591
80,9600
80,9660
80,9690
80,9693
80,9704
80,9704
80,9720
80,9780
80,9805
80,9807
80,9815
80,9815
80,9840
80,9900
80,9915
80,9917
80,9925
80,9925
80,9960
80,10020
80,10025
80,10028
80,10035
80,10035
80,10080
80,10135
80,10138
80,10140
80,10145
80,10145
80,10200
80,10245
80,10248
80,10255
80,10255
80,10260
80,10320
80,10355
80,10358
80,10366
80,10366
