Round,Sim Time [s],Loss,Accuracy,prog [%]
1,4,inf,0,0
2,67,inf,0,0
3,131,inf,0,0
4,194,inf,0,0
5,258,inf,0,0
6,321,inf,0,0
7,385,inf,0,0
8,448,inf,0,0
9,512,inf,0,0
10,576,inf,0,0
11,639,inf,0,0
12,703,inf,0,0
13,766,inf,0,0
14,830,inf,0,0
15,893,inf,0,0
16,957,inf,0,0
17,1021,inf,0,0
18,1084,inf,0,0
19,1148,inf,0,0
20,1211,inf,0,0
21,1275,inf,0,0
22,1338,inf,0,0
23,1402,inf,0,0
24,1466,inf,0,0
25,1529,inf,0,0
26,1593,inf,0,0
27,1656,inf,0,0
28,1720,inf,0,0
29,1783,inf,0,0
30,1847,inf,0,0
31,1910,inf,0,0
32,1974,inf,0,0
33,2038,inf,0,0
34,2101,inf,0,0
35,2165,inf,0,0
36,2228,inf,0,0
37,2292,inf,0,0
38,2355,inf,0,0
39,2419,inf,0,0
40,2483,inf,0,0
41,2546,inf,0,0
42,2610,inf,0,0
43,2673,inf,0,0
44,2737,inf,0,0
45,2800,inf,0,0
46,2864,inf,0,0
47,2928,inf,0,0
48,2991,inf,0,0
49,3055,inf,0,0
50,3118,inf,0,0
51,3182,inf,0,0
52,3245,inf,0,0
53,3309,inf,0,0
54,3373,inf,0,0
55,3436,inf,0,0
56,3500,inf,0,0
57,3563,inf,0,0
58,3627,inf,0,0
59,3690,inf,0,0
60,3754,inf,0,0
61,3817,inf,0,0
62,3881,inf,0,0
63,3945,inf,0,0
64,4008,inf,0,0
65,4072,inf,0,0
66,4135,inf,0,0
67,4199,inf,0,0
68,4262,inf,0,0
69,4326,inf,0,0
70,4390,inf,0,0
71,4453,inf,0,0
72,4517,inf,0,0
73,4580,inf,0,0
74,4644,inf,0,0
75,4707,inf,0,0
76,4771,inf,0,0
77,4835,inf,0,0
78,4898,inf,0,0
79,4962,inf,0,0
80,5025,inf,0,0
81,5089,inf,0,0
82,5152,inf,0,0
83,5216,inf,0,0
84,5279,inf,0,0
85,5343,inf,0,0
86,5407,inf,0,0
87,5470,inf,0,0
88,5534,inf,0,0
89,5597,inf,0,0
90,5661,inf,0,0
91,5724,inf,0,0
92,5788,inf,0,0
93,5852,inf,0,0
94,5915,inf,0,0
95,5979,inf,0,0
96,6042,inf,0,0
97,6106,inf,0,0
98,6169,inf,0,0
99,6233,inf,0,0
100,6297,inf,0,0
