round,per_time,total_time
1,50.023833990097046,50.02384400367737
2,50.52556586265564,100.54941511154175
3,56.104442834854126,156.65386295318604
4,59.6898148059845,216.34368205070496
5,60.875746965408325,277.21943283081055
6,60.679110288619995,337.8985469341278
7,60.97182822227478,398.8703830242157
8,65.1625280380249,464.0329167842865
9,72.92103695869446,536.9539580345154
10,80.33147406578064,617.2854378223419
11,78.86213707923889,696.1475811004639
12,81.61291718482971,777.7605049610138
13,83.86508011817932,861.6255898475647
14,85.95818495750427,947.5837800502777
15,87.87303614616394,1035.4568209648132
16,90.53048014640808,1125.9873089790344
17,91.9105110168457,1217.897826910019
18,92.63822984695435,1310.5360610485077
19,92.65031599998474,1403.1863820552826
20,92.73735976219177,1495.923744916916
21,94.17082214355469,1590.0945708751678
22,94.18593716621399,1684.2805128097534
23,95.01658391952515,1779.297101020813
24,96.12324500083923,1875.4203507900238
25,96.57696604728699,1971.997321844101
26,97.05850505828857,2069.0558309555054
27,97.17305016517639,2166.2288858890533
28,96.73288607597351,2262.96177816391
29,98.30029106140137,2361.262073993683
30,99.90614008903503,2461.168219089508
31,98.59317684173584,2559.761400938034
32,98.64483118057251,2658.4062371253967
33,98.80674910545349,2757.212991952896
34,99.11146402359009,2856.324460029602
35,99.34689784049988,2955.671362876892
36,99.46498203277588,3055.136349916458
37,100.02447605133057,3155.160830974579
38,100.50133299827576,3255.662169933319
39,100.05801391601562,3355.7201890945435
40,99.85911130905151,3455.579304933548
41,100.0210120677948,3555.600322008133
42,100.3439450263977,3655.9442710876465
43,100.08724904060364,3756.0315248966217
44,100.45687675476074,3856.488405942917
45,100.2471649646759,3956.7355768680573
46,100.30181884765625,4057.0374019145966
47,100.1945788860321,4157.231985092163
48,102.05749106407166,4259.289479732513
49,103.36248898506165,4362.651973962784
50,103.05270671844482,4465.704684019089
51,103.15045976638794,4568.8551478385925
52,102.58287000656128,4671.438022136688
53,103.02179384231567,4774.459825992584
54,102.50898814201355,4876.968818902969
55,103.38841223716736,4980.35723900795
56,103.34097218513489,5083.6982209682465
57,103.09089016914368,5186.789120912552
58,103.06899404525757,5289.858119726181
59,102.85302114486694,5392.711144924164
60,103.1389422416687,5495.850091934204
61,102.8104476928711,5598.660545825958
62,102.8045768737793,5701.465125083923
63,102.96656680107117,5804.431694030762
64,101.84456586837769,5906.276262998581
65,103.97139692306519,6010.247663974762
66,102.4683289527893,6112.715997934341
67,102.62191605567932,6215.337918758392
68,102.44489216804504,6317.782814979553
69,104.53719115257263,6422.320010900497
70,101.98559808731079,6524.305613040924
71,102.47011995315552,6626.775737047195
72,102.46860194206238,6729.244343996048
73,103.56733798980713,6832.811686992645
74,114.46202492713928,6947.2737147808075
75,102.59156107902527,7049.865279912949
76,104.08355617523193,7153.948844909668
77,104.93610072135925,7258.884953022003
78,104.15401911735535,7363.038975954056
79,102.81273221969604,7465.851711988449
80,102.75996899604797,7568.611690998077
81,104.49237990379333,7673.104074954987
82,102.20735907554626,7775.311438083649
83,103.67481088638306,7878.986254930496
84,103.47807002067566,7982.464329957962
85,104.55583691596985,8087.020169973373
86,103.82669305801392,8190.846873044968
87,104.74305200576782,8295.589929819107
88,103.03095889091492,8398.620894908905
89,102.84014630317688,8501.461042881012
90,104.77393317222595,8606.234981060028
91,105.54760098457336,8711.782589912415
92,103.79549622535706,8815.578097105026
93,104.78150415420532,8920.359610080719
94,103.8368079662323,9024.196426868439
95,103.08088994026184,9127.2773270607
96,103.98027896881104,9231.257615089417
97,105.35354804992676,9336.611174106598
98,104.43746185302734,9441.04864192009
99,104.02090311050415,9545.069548845291
100,103.97010612487793,9649.039658784866
