Battery Level,Elapsed Time
100,0
100,1
100,35
100,60
100,61
100,66
100,68
100,68
100,76
100,76
100,77
100,77
100,78
100,120
100,122
100,123
100,128
100,128
100,173
100,174
100,178
100,178
100,180
100,229
100,230
100,235
100,235
100,240
100,289
100,290
100,294
100,294
100,300
100,349
100,350
100,355
100,355
100,360
100,410
100,412
100,416
100,416
100,420
100,471
100,472
100,477
100,477
100,480
100,536
100,538
100,540
100,542
100,542
100,600
100,609
100,611
100,615
100,615
100,660
100,689
100,691
100,696
100,696
100,720
100,768
100,770
100,775
100,775
100,780
100,840
100,849
100,851
100,856
100,856
100,900
100,933
100,936
100,940
100,940
100,960
100,1019
100,1020
100,1021
100,1027
100,1027
100,1080
100,1107
100,1109
100,1115
100,1115
100,1140
100,1197
100,1199
100,1200
100,1205
100,1205
100,1260
100,1289
100,1291
100,1297
100,1297
100,1320
100,1380
100,1382
100,1384
100,1390
100,1390
100,1440
100,1474
100,1477
100,1482
100,1482
100,1500
100,1560
100,1567
100,1569
100,1575
100,1575
100,1620
100,1661
100,1663
100,1669
100,1669
100,1680
100,1740
100,1755
100,1758
100,1764
100,1764
100,1800
100,1850
100,1853
100,1859
100,1859
100,1860
100,1920
100,1946
100,1949
100,1955
100,1955
100,1980
100,2040
100,2042
100,2045
100,2052
100,2052
100,2100
100,2140
100,2143
100,2149
100,2149
100,2160
100,2220
100,2237
100,2240
100,2246
100,2246
100,2280
100,2334
100,2337
100,2340
100,2343
100,2343
100,2400
100,2432
100,2435
100,2441
100,2441
100,2460
100,2520
100,2532
100,2534
100,2541
100,2541
100,2580
100,2631
100,2633
100,2640
100,2640
100,2640
100,2700
100,2729
100,2732
100,2739
100,2739
100,2760
100,2820
100,2828
100,2831
100,2837
100,2837
100,2880
100,2927
100,2930
100,2937
100,2937
100,2940
100,3000
100,3026
100,3029
100,3036
100,3036
100,3060
100,3120
100,3126
100,3129
100,3135
100,3135
100,3180
100,3226
100,3229
100,3235
100,3235
100,3240
100,3300
100,3327
100,3329
100,3336
100,3336
100,3360
100,3420
100,3426
100,3429
100,3436
100,3436
100,3480
100,3526
100,3529
100,3536
100,3536
100,3540
100,3600
100,3626
100,3629
100,3636
100,3636
100,3660
100,3720
100,3726
100,3729
100,3736
100,3736
100,3780
100,3827
100,3829
100,3836
100,3836
100,3840
100,3900
100,3927
100,3930
100,3937
100,3937
100,3960
100,4020
100,4028
100,4030
100,4037
100,4037
100,4080
100,4128
100,4131
100,4138
100,4138
100,4140
100,4200
100,4228
100,4231
100,4238
100,4238
100,4260
100,4320
100,4330
100,4333
100,4340
100,4340
100,4380
100,4432
100,4435
100,4440
100,4443
100,4443
100,4500
100,4536
100,4539
100,4547
100,4547
100,4560
100,4620
100,4640
100,4643
100,4650
100,4650
100,4680
100,4740
100,4742
100,4745
100,4752
100,4752
100,4800
100,4845
100,4848
100,4856
100,4856
100,4860
100,4920
100,4948
100,4950
100,4958
100,4958
100,4980
100,5040
100,5051
100,5053
100,5062
100,5062
100,5100
100,5154
100,5157
100,5160
100,5165
100,5165
100,5220
100,5258
100,5260
100,5268
100,5268
100,5280
100,5340
100,5360
100,5363
100,5371
100,5371
100,5400
100,5460
100,5463
100,5466
100,5474
100,5474
100,5520
100,5566
100,5569
100,5577
100,5577
100,5580
100,5640
100,5669
100,5672
100,5680
100,5680
100,5700
100,5760
100,5772
100,5775
100,5782
100,5782
100,5820
100,5875
100,5878
100,5880
100,5885
100,5885
100,5940
100,5976
100,5979
100,5989
100,5989
100,6000
100,6060
100,6081
100,6084
100,6091
100,6091
100,6120
100,6180
100,6184
100,6186
100,6194
100,6194
100,6240
100,6286
100,6289
100,6296
100,6296
100,6300
100,6360
100,6389
100,6392
100,6400
100,6400
100,6420
100,6480
100,6493
100,6495
100,6503
100,6503
100,6540
100,6595
100,6598
100,6600
100,6605
100,6605
100,6660
100,6698
100,6700
100,6707
100,6707
100,6720
100,6780
100,6800
100,6803
100,6810
100,6810
100,6840
100,6900
100,6903
100,6906
100,6920
100,6920
100,6960
100,7018
100,7020
100,7021
100,7028
100,7028
100,7080
100,7121
100,7124
100,7131
100,7131
100,7140
100,7200
100,7225
100,7228
100,7235
100,7235
100,7260
100,7320
100,7330
100,7332
100,7340
100,7340
100,7380
100,7434
100,7437
100,7440
100,7444
100,7444
100,7500
100,7537
100,7540
100,7547
100,7547
100,7560
100,7620
100,7639
100,7642
100,7650
100,7650
100,7680
100,7740
100,7744
100,7747
100,7754
100,7754
100,7800
100,7846
100,7849
100,7856
100,7856
100,7860
100,7920
100,7950
100,7953
100,7960
100,7960
100,7980
100,8040
100,8053
100,8056
100,8064
100,8064
100,8100
100,8158
100,8160
100,8160
100,8168
100,8168
100,8220
100,8262
100,8265
100,8272
100,8272
100,8280
100,8340
100,8366
100,8369
100,8377
100,8377
100,8400
100,8460
100,8469
100,8472
100,8480
100,8480
100,8520
100,8572
100,8575
100,8580
100,8582
100,8582
100,8640
100,8676
100,8678
100,8688
100,8688
100,8700
100,8760
100,8782
100,8785
100,8793
100,8793
100,8820
100,8880
100,8886
100,8888
100,8897
100,8897
100,8940
100,8990
100,8993
100,9000
100,9002
100,9002
100,9060
100,9095
100,9098
100,9105
100,9105
100,9120
100,9180
100,9198
100,9201
100,9208
100,9208
100,9240
100,9300
100,9302
100,9304
100,9313
100,9313
100,9360
100,9407
100,9410
100,9418
100,9418
100,9420
100,9480
100,9512
100,9515
100,9522
100,9522
100,9540
100,9600
100,9616
100,9618
100,9626
100,9626
100,9660
