DEBUG flower 2022-12-22 16:19:17,164 | server.py:179 | evaluate_round 13 received 2 results and 0 failures
DEBUG flower 2022-12-22 16:19:17,164 | server.py:215 | fit_round 14: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 16:22:47,254 | server.py:229 | fit_round 14 received 2 results and 0 failures
DEBUG flower 2022-12-22 16:22:47,256 | server.py:165 | evaluate_round 14: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 16:23:25,524 | server.py:179 | evaluate_round 14 received 2 results and 0 failures
DEBUG flower 2022-12-22 16:23:25,524 | server.py:215 | fit_round 15: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 16:27:03,733 | server.py:229 | fit_round 15 received 2 results and 0 failures
DEBUG flower 2022-12-22 16:27:03,735 | server.py:165 | evaluate_round 15: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 16:27:40,609 | server.py:179 | evaluate_round 15 received 2 results and 0 failures
DEBUG flower 2022-12-22 16:27:40,609 | server.py:215 | fit_round 16: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 16:30:45,283 | server.py:229 | fit_round 16 received 2 results and 0 failures
DEBUG flower 2022-12-22 16:30:45,285 | server.py:165 | evaluate_round 16: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 16:31:12,136 | server.py:179 | evaluate_round 16 received 2 results and 0 failures
DEBUG flower 2022-12-22 16:31:12,136 | server.py:215 | fit_round 17: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 16:34:22,323 | server.py:229 | fit_round 17 received 2 results and 0 failures
DEBUG flower 2022-12-22 16:34:22,325 | server.py:165 | evaluate_round 17: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 16:34:49,485 | server.py:179 | evaluate_round 17 received 2 results and 0 failures
DEBUG flower 2022-12-22 16:34:49,485 | server.py:215 | fit_round 18: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 16:37:38,162 | server.py:229 | fit_round 18 received 2 results and 0 failures
DEBUG flower 2022-12-22 16:37:38,164 | server.py:165 | evaluate_round 18: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 16:38:11,493 | server.py:179 | evaluate_round 18 received 2 results and 0 failures
DEBUG flower 2022-12-22 16:38:11,493 | server.py:215 | fit_round 19: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 16:41:55,330 | server.py:229 | fit_round 19 received 2 results and 0 failures
DEBUG flower 2022-12-22 16:41:55,332 | server.py:165 | evaluate_round 19: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 16:42:33,606 | server.py:179 | evaluate_round 19 received 2 results and 0 failures
DEBUG flower 2022-12-22 16:42:33,606 | server.py:215 | fit_round 20: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 16:46:39,885 | server.py:229 | fit_round 20 received 2 results and 0 failures
DEBUG flower 2022-12-22 16:46:39,888 | server.py:165 | evaluate_round 20: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 16:47:15,973 | server.py:179 | evaluate_round 20 received 2 results and 0 failures
DEBUG flower 2022-12-22 16:47:15,973 | server.py:215 | fit_round 21: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 16:50:29,076 | server.py:229 | fit_round 21 received 2 results and 0 failures
DEBUG flower 2022-12-22 16:50:29,078 | server.py:165 | evaluate_round 21: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 16:51:06,935 | server.py:179 | evaluate_round 21 received 2 results and 0 failures
DEBUG flower 2022-12-22 16:51:06,935 | server.py:215 | fit_round 22: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 16:54:00,500 | server.py:229 | fit_round 22 received 2 results and 0 failures
DEBUG flower 2022-12-22 16:54:00,503 | server.py:165 | evaluate_round 22: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 16:54:34,841 | server.py:179 | evaluate_round 22 received 2 results and 0 failures
DEBUG flower 2022-12-22 16:54:34,841 | server.py:215 | fit_round 23: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 16:58:00,459 | server.py:229 | fit_round 23 received 2 results and 0 failures
DEBUG flower 2022-12-22 16:58:00,461 | server.py:165 | evaluate_round 23: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 16:58:34,601 | server.py:179 | evaluate_round 23 received 2 results and 0 failures
DEBUG flower 2022-12-22 16:58:34,601 | server.py:215 | fit_round 24: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 17:01:21,442 | server.py:229 | fit_round 24 received 2 results and 0 failures
DEBUG flower 2022-12-22 17:01:21,444 | server.py:165 | evaluate_round 24: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 17:01:56,604 | server.py:179 | evaluate_round 24 received 2 results and 0 failures
DEBUG flower 2022-12-22 17:01:56,604 | server.py:215 | fit_round 25: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 17:05:36,294 | server.py:229 | fit_round 25 received 2 results and 0 failures
DEBUG flower 2022-12-22 17:05:36,296 | server.py:165 | evaluate_round 25: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 17:06:11,833 | server.py:179 | evaluate_round 25 received 2 results and 0 failures
DEBUG flower 2022-12-22 17:06:11,833 | server.py:215 | fit_round 26: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 17:10:03,619 | server.py:229 | fit_round 26 received 2 results and 0 failures
DEBUG flower 2022-12-22 17:10:03,622 | server.py:165 | evaluate_round 26: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 17:10:37,588 | server.py:179 | evaluate_round 26 received 2 results and 0 failures
DEBUG flower 2022-12-22 17:10:37,588 | server.py:215 | fit_round 27: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 17:13:57,127 | server.py:229 | fit_round 27 received 2 results and 0 failures
