Round,Sim Time [s],Accuracy,Loss,Precision,Recall,F-score,prog [%]
1,4,0,inf,0.0,0.0,0.0,0
2,61,0,inf,0.0,0.0,0.0,0
3,67,0,inf,0.0,0.0,0.0,0
4,125,0,inf,0.0,0.0,0.0,0
5,131,0,inf,0.0,0.0,0.0,0
6,188,0,inf,0.0,0.0,0.0,0
7,194,0,inf,0.0,0.0,0.0,0
8,252,0,inf,0.0,0.0,0.0,0
9,258,0,inf,0.0,0.0,0.0,0
10,316,0,inf,0.0,0.0,0.0,0
11,321,0,inf,0.0,0.0,0.0,0
12,379,0,inf,0.0,0.0,0.0,0
13,385,0,inf,0.0,0.0,0.0,0
14,443,0,inf,0.0,0.0,0.0,0
15,448,0,inf,0.0,0.0,0.0,0
16,506,0,inf,0.0,0.0,0.0,0
17,512,0,inf,0.0,0.0,0.0,0
18,570,0,inf,0.0,0.0,0.0,0
19,576,0,inf,0.0,0.0,0.0,0
20,633,0,inf,0.0,0.0,0.0,0
21,639,0,inf,0.0,0.0,0.0,0
22,697,0,inf,0.0,0.0,0.0,0
23,703,0,inf,0.0,0.0,0.0,0
24,761,0,inf,0.0,0.0,0.0,0
25,766,0,inf,0.0,0.0,0.0,0
26,824,0,inf,0.0,0.0,0.0,0
27,830,0,inf,0.0,0.0,0.0,0
28,888,0,inf,0.0,0.0,0.0,0
29,893,0,inf,0.0,0.0,0.0,0
30,951,0,inf,0.0,0.0,0.0,0
31,957,0,inf,0.0,0.0,0.0,0
32,1015,0,inf,0.0,0.0,0.0,0
33,1021,0,inf,0.0,0.0,0.0,0
34,1078,0,inf,0.0,0.0,0.0,0
35,1084,0,inf,0.0,0.0,0.0,0
36,1142,0,inf,0.0,0.0,0.0,0
37,1148,0,inf,0.0,0.0,0.0,0
38,1205,0,inf,0.0,0.0,0.0,0
39,1211,0,inf,0.0,0.0,0.0,0
40,1269,0,inf,0.0,0.0,0.0,0
41,1275,0,inf,0.0,0.0,0.0,0
42,1333,0,inf,0.0,0.0,0.0,0
43,1338,0,inf,0.0,0.0,0.0,0
44,1396,0,inf,0.0,0.0,0.0,0
45,1402,0,inf,0.0,0.0,0.0,0
46,1460,0,inf,0.0,0.0,0.0,0
47,1466,0,inf,0.0,0.0,0.0,0
48,1523,0,inf,0.0,0.0,0.0,0
49,1529,0,inf,0.0,0.0,0.0,0
50,1587,0,inf,0.0,0.0,0.0,0
51,1593,0,inf,0.0,0.0,0.0,0
52,1650,0,inf,0.0,0.0,0.0,0
53,1656,0,inf,0.0,0.0,0.0,0
54,1714,0,inf,0.0,0.0,0.0,0
55,1720,0,inf,0.0,0.0,0.0,0
56,1778,0,inf,0.0,0.0,0.0,0
57,1783,0,inf,0.0,0.0,0.0,0
58,1841,0,inf,0.0,0.0,0.0,0
59,1847,0,inf,0.0,0.0,0.0,0
60,1905,0,inf,0.0,0.0,0.0,0
61,1910,0,inf,0.0,0.0,0.0,0
62,1968,0,inf,0.0,0.0,0.0,0
63,1974,0,inf,0.0,0.0,0.0,0
64,2032,0,inf,0.0,0.0,0.0,0
65,2038,0,inf,0.0,0.0,0.0,0
66,2095,0,inf,0.0,0.0,0.0,0
67,2101,0,inf,0.0,0.0,0.0,0
68,2159,0,inf,0.0,0.0,0.0,0
69,2165,0,inf,0.0,0.0,0.0,0
70,2223,0,inf,0.0,0.0,0.0,0
71,2228,0,inf,0.0,0.0,0.0,0
72,2286,0,inf,0.0,0.0,0.0,0
73,2292,0,inf,0.0,0.0,0.0,0
74,2350,0,inf,0.0,0.0,0.0,0
75,2355,0,inf,0.0,0.0,0.0,0
76,2413,0,inf,0.0,0.0,0.0,0
77,2419,0,inf,0.0,0.0,0.0,0
78,2477,0,inf,0.0,0.0,0.0,0
79,2483,0,inf,0.0,0.0,0.0,0
80,2540,0,inf,0.0,0.0,0.0,0
81,2546,0,inf,0.0,0.0,0.0,0
82,2604,0,inf,0.0,0.0,0.0,0
83,2610,0,inf,0.0,0.0,0.0,0
84,2668,0,inf,0.0,0.0,0.0,0
85,2673,0,inf,0.0,0.0,0.0,0
86,2731,0,inf,0.0,0.0,0.0,0
87,2737,0,inf,0.0,0.0,0.0,0
88,2795,0,inf,0.0,0.0,0.0,0
89,2800,0,inf,0.0,0.0,0.0,0
90,2858,0,inf,0.0,0.0,0.0,0
91,2864,0,inf,0.0,0.0,0.0,0
92,2922,0,inf,0.0,0.0,0.0,0
93,2928,0,inf,0.0,0.0,0.0,0
94,2985,0,inf,0.0,0.0,0.0,0
95,2991,0,inf,0.0,0.0,0.0,0
96,3049,0,inf,0.0,0.0,0.0,0
97,3055,0,inf,0.0,0.0,0.0,0
98,3112,0,inf,0.0,0.0,0.0,0
99,3118,0,inf,0.0,0.0,0.0,0
100,3176,0,inf,0.0,0.0,0.0,0
