Round,Sim Time [s],Accuracy,Loss,Precision,Recall,F-score,prog [%]
1,49,0,inf,0.0,0.0,0.0,0
2,110,0,inf,0.0,0.0,0.0,0
3,171,0,inf,0.0,0.0,0.0,0
4,233,0,inf,0.0,0.0,0.0,0
5,294,0,inf,0.0,0.0,0.0,0
6,355,0,inf,0.0,0.0,0.0,0
7,416,0,inf,0.0,0.0,0.0,0
8,477,0,inf,0.0,0.0,0.0,0
9,539,0,inf,0.0,0.0,0.0,0
10,600,0,inf,0.0,0.0,0.0,0
11,661,0,inf,0.0,0.0,0.0,0
12,722,0,inf,0.0,0.0,0.0,0
13,783,0,inf,0.0,0.0,0.0,0
14,844,0,inf,0.0,0.0,0.0,0
15,906,0,inf,0.0,0.0,0.0,0
16,967,0,inf,0.0,0.0,0.0,0
17,1028,0,inf,0.0,0.0,0.0,0
18,1089,0,inf,0.0,0.0,0.0,0
19,1150,0,inf,0.0,0.0,0.0,0
20,1211,0,inf,0.0,0.0,0.0,0
21,1273,0,inf,0.0,0.0,0.0,0
22,1334,0,inf,0.0,0.0,0.0,0
23,1395,0,inf,0.0,0.0,0.0,0
24,1456,0,inf,0.0,0.0,0.0,0
25,1517,0,inf,0.0,0.0,0.0,0
26,1579,0,inf,0.0,0.0,0.0,0
27,1640,0,inf,0.0,0.0,0.0,0
28,1701,0,inf,0.0,0.0,0.0,0
29,1762,0,inf,0.0,0.0,0.0,0
30,1823,0,inf,0.0,0.0,0.0,0
31,1884,0,inf,0.0,0.0,0.0,0
32,1946,0,inf,0.0,0.0,0.0,0
33,2007,0,inf,0.0,0.0,0.0,0
34,2068,0,inf,0.0,0.0,0.0,0
35,2129,0,inf,0.0,0.0,0.0,0
36,2190,0,inf,0.0,0.0,0.0,0
37,2251,0,inf,0.0,0.0,0.0,0
38,2313,0,inf,0.0,0.0,0.0,0
39,2374,0,inf,0.0,0.0,0.0,0
40,2435,0,inf,0.0,0.0,0.0,0
41,2496,0,inf,0.0,0.0,0.0,0
42,2557,0,inf,0.0,0.0,0.0,0
43,2618,0,inf,0.0,0.0,0.0,0
44,2680,0,inf,0.0,0.0,0.0,0
45,2741,0,inf,0.0,0.0,0.0,0
46,2802,0,inf,0.0,0.0,0.0,0
47,2863,0,inf,0.0,0.0,0.0,0
48,2924,0,inf,0.0,0.0,0.0,0
49,2986,0,inf,0.0,0.0,0.0,0
50,3047,0,inf,0.0,0.0,0.0,0
51,3108,0,inf,0.0,0.0,0.0,0
52,3169,0,inf,0.0,0.0,0.0,0
53,3230,0,inf,0.0,0.0,0.0,0
54,3291,0,inf,0.0,0.0,0.0,0
55,3353,0,inf,0.0,0.0,0.0,0
56,3414,0,inf,0.0,0.0,0.0,0
57,3475,0,inf,0.0,0.0,0.0,0
58,3536,0,inf,0.0,0.0,0.0,0
59,3597,0,inf,0.0,0.0,0.0,0
60,3658,0,inf,0.0,0.0,0.0,0
61,3720,0,inf,0.0,0.0,0.0,0
62,3781,0,inf,0.0,0.0,0.0,0
63,3842,0,inf,0.0,0.0,0.0,0
64,3903,0,inf,0.0,0.0,0.0,0
65,3964,0,inf,0.0,0.0,0.0,0
66,4026,0,inf,0.0,0.0,0.0,0
67,4087,0,inf,0.0,0.0,0.0,0
68,4148,0,inf,0.0,0.0,0.0,0
69,4209,0,inf,0.0,0.0,0.0,0
70,4270,0,inf,0.0,0.0,0.0,0
71,4331,0,inf,0.0,0.0,0.0,0
72,4393,0,inf,0.0,0.0,0.0,0
73,4454,0,inf,0.0,0.0,0.0,0
74,4515,0,inf,0.0,0.0,0.0,0
75,4576,0,inf,0.0,0.0,0.0,0
76,4637,0,inf,0.0,0.0,0.0,0
77,4698,0,inf,0.0,0.0,0.0,0
78,4760,0,inf,0.0,0.0,0.0,0
79,4821,0,inf,0.0,0.0,0.0,0
80,4882,0,inf,0.0,0.0,0.0,0
81,4943,0,inf,0.0,0.0,0.0,0
82,5004,0,inf,0.0,0.0,0.0,0
83,5065,0,inf,0.0,0.0,0.0,0
84,5127,0,inf,0.0,0.0,0.0,0
85,5188,0,inf,0.0,0.0,0.0,0
86,5249,0,inf,0.0,0.0,0.0,0
87,5310,0,inf,0.0,0.0,0.0,0
88,5371,0,inf,0.0,0.0,0.0,0
89,5433,0,inf,0.0,0.0,0.0,0
90,5494,0,inf,0.0,0.0,0.0,0
91,5555,0,inf,0.0,0.0,0.0,0
92,5616,0,inf,0.0,0.0,0.0,0
93,5677,0,inf,0.0,0.0,0.0,0
94,5738,0,inf,0.0,0.0,0.0,0
95,5800,0,inf,0.0,0.0,0.0,0
96,5861,0,inf,0.0,0.0,0.0,0
97,5922,0,inf,0.0,0.0,0.0,0
98,5983,0,inf,0.0,0.0,0.0,0
99,6044,0,inf,0.0,0.0,0.0,0
