Round,Sim Time [s],Accuracy,Loss,Precision,Recall,F-score,prog [%]
1,21,0,inf,0.0,0.0,0.0,0
2,25,0,inf,0.0,0.0,0.0,0
3,78,0,inf,0.0,0.0,0.0,0
4,89,0,inf,0.0,0.0,0.0,0
5,142,0,inf,0.0,0.0,0.0,0
6,153,0,inf,0.0,0.0,0.0,0
7,206,0,inf,0.0,0.0,0.0,0
8,217,0,inf,0.0,0.0,0.0,0
9,270,0,inf,0.0,0.0,0.0,0
10,282,0,inf,0.0,0.0,0.0,0
11,335,0,inf,0.0,0.0,0.0,0
12,346,0,inf,0.0,0.0,0.0,0
13,399,0,inf,0.0,0.0,0.0,0
14,410,0,inf,0.0,0.0,0.0,0
15,463,0,inf,0.0,0.0,0.0,0
16,474,0,inf,0.0,0.0,0.0,0
17,528,0,inf,0.0,0.0,0.0,0
18,539,0,inf,0.0,0.0,0.0,0
19,592,0,inf,0.0,0.0,0.0,0
20,603,0,inf,0.0,0.0,0.0,0
21,656,0,inf,0.0,0.0,0.0,0
22,667,0,inf,0.0,0.0,0.0,0
23,720,0,inf,0.0,0.0,0.0,0
24,731,0,inf,0.0,0.0,0.0,0
25,785,0,inf,0.0,0.0,0.0,0
26,796,0,inf,0.0,0.0,0.0,0
27,849,0,inf,0.0,0.0,0.0,0
28,860,0,inf,0.0,0.0,0.0,0
29,913,0,inf,0.0,0.0,0.0,0
30,924,0,inf,0.0,0.0,0.0,0
31,977,0,inf,0.0,0.0,0.0,0
32,988,0,inf,0.0,0.0,0.0,0
33,1042,0,inf,0.0,0.0,0.0,0
34,1053,0,inf,0.0,0.0,0.0,0
35,1106,0,inf,0.0,0.0,0.0,0
36,1117,0,inf,0.0,0.0,0.0,0
37,1170,0,inf,0.0,0.0,0.0,0
38,1181,0,inf,0.0,0.0,0.0,0
39,1234,0,inf,0.0,0.0,0.0,0
40,1246,0,inf,0.0,0.0,0.0,0
41,1299,0,inf,0.0,0.0,0.0,0
42,1310,0,inf,0.0,0.0,0.0,0
43,1363,0,inf,0.0,0.0,0.0,0
44,1374,0,inf,0.0,0.0,0.0,0
45,1427,0,inf,0.0,0.0,0.0,0
46,1438,0,inf,0.0,0.0,0.0,0
47,1491,0,inf,0.0,0.0,0.0,0
48,1503,0,inf,0.0,0.0,0.0,0
49,1556,0,inf,0.0,0.0,0.0,0
50,1567,0,inf,0.0,0.0,0.0,0
51,1620,0,inf,0.0,0.0,0.0,0
52,1631,0,inf,0.0,0.0,0.0,0
53,1684,0,inf,0.0,0.0,0.0,0
54,1695,0,inf,0.0,0.0,0.0,0
55,1748,0,inf,0.0,0.0,0.0,0
56,1760,0,inf,0.0,0.0,0.0,0
57,1813,0,inf,0.0,0.0,0.0,0
58,1824,0,inf,0.0,0.0,0.0,0
59,1877,0,inf,0.0,0.0,0.0,0
60,1888,0,inf,0.0,0.0,0.0,0
61,1941,0,inf,0.0,0.0,0.0,0
62,1952,0,inf,0.0,0.0,0.0,0
63,2005,0,inf,0.0,0.0,0.0,0
64,2017,0,inf,0.0,0.0,0.0,0
65,2070,0,inf,0.0,0.0,0.0,0
66,2081,0,inf,0.0,0.0,0.0,0
67,2134,0,inf,0.0,0.0,0.0,0
68,2145,0,inf,0.0,0.0,0.0,0
69,2198,0,inf,0.0,0.0,0.0,0
70,2209,0,inf,0.0,0.0,0.0,0
71,2263,0,inf,0.0,0.0,0.0,0
72,2274,0,inf,0.0,0.0,0.0,0
73,2327,0,inf,0.0,0.0,0.0,0
74,2338,0,inf,0.0,0.0,0.0,0
75,2391,0,inf,0.0,0.0,0.0,0
76,2402,0,inf,0.0,0.0,0.0,0
77,2455,0,inf,0.0,0.0,0.0,0
78,2466,0,inf,0.0,0.0,0.0,0
79,2520,0,inf,0.0,0.0,0.0,0
80,2531,0,inf,0.0,0.0,0.0,0
81,2584,0,inf,0.0,0.0,0.0,0
82,2595,0,inf,0.0,0.0,0.0,0
83,2648,0,inf,0.0,0.0,0.0,0
84,2659,0,inf,0.0,0.0,0.0,0
85,2712,0,inf,0.0,0.0,0.0,0
86,2723,0,inf,0.0,0.0,0.0,0
87,2777,0,inf,0.0,0.0,0.0,0
88,2788,0,inf,0.0,0.0,0.0,0
89,2841,0,inf,0.0,0.0,0.0,0
90,2852,0,inf,0.0,0.0,0.0,0
91,2905,0,inf,0.0,0.0,0.0,0
92,2916,0,inf,0.0,0.0,0.0,0
93,2969,0,inf,0.0,0.0,0.0,0
94,2981,0,inf,0.0,0.0,0.0,0
95,3034,0,inf,0.0,0.0,0.0,0
96,3045,0,inf,0.0,0.0,0.0,0
97,3098,0,inf,0.0,0.0,0.0,0
98,3109,0,inf,0.0,0.0,0.0,0
99,3162,0,inf,0.0,0.0,0.0,0
100,3173,0,inf,0.0,0.0,0.0,0
