Round,Sim Time [s],Accuracy,Loss,Precision,Recall,F-score,prog [%]
1,24,0,inf,0.0,0.0,0.0,0
2,32,0,inf,0.0,0.0,0.0,0
3,83,0,inf,0.0,0.0,0.0,0
4,91,0,inf,0.0,0.0,0.0,0
5,142,0,inf,0.0,0.0,0.0,0
6,151,0,inf,0.0,0.0,0.0,0
7,201,0,inf,0.0,0.0,0.0,0
8,210,0,inf,0.0,0.0,0.0,0
9,260,0,inf,0.0,0.0,0.0,0
10,269,0,inf,0.0,0.0,0.0,0
11,319,0,inf,0.0,0.0,0.0,0
12,328,0,inf,0.0,0.0,0.0,0
13,378,0,inf,0.0,0.0,0.0,0
14,387,0,inf,0.0,0.0,0.0,0
15,438,0,inf,0.0,0.0,0.0,0
16,446,0,inf,0.0,0.0,0.0,0
17,497,0,inf,0.0,0.0,0.0,0
18,505,0,inf,0.0,0.0,0.0,0
19,556,0,inf,0.0,0.0,0.0,0
20,564,0,inf,0.0,0.0,0.0,0
21,615,0,inf,0.0,0.0,0.0,0
22,623,0,inf,0.0,0.0,0.0,0
23,674,0,inf,0.0,0.0,0.0,0
24,683,0,inf,0.0,0.0,0.0,0
25,733,0,inf,0.0,0.0,0.0,0
26,742,0,inf,0.0,0.0,0.0,0
27,792,0,inf,0.0,0.0,0.0,0
28,801,0,inf,0.0,0.0,0.0,0
29,851,0,inf,0.0,0.0,0.0,0
30,860,0,inf,0.0,0.0,0.0,0
31,910,0,inf,0.0,0.0,0.0,0
32,919,0,inf,0.0,0.0,0.0,0
33,970,0,inf,0.0,0.0,0.0,0
34,978,0,inf,0.0,0.0,0.0,0
35,1029,0,inf,0.0,0.0,0.0,0
36,1037,0,inf,0.0,0.0,0.0,0
37,1088,0,inf,0.0,0.0,0.0,0
38,1096,0,inf,0.0,0.0,0.0,0
39,1147,0,inf,0.0,0.0,0.0,0
40,1155,0,inf,0.0,0.0,0.0,0
41,1206,0,inf,0.0,0.0,0.0,0
42,1215,0,inf,0.0,0.0,0.0,0
43,1265,0,inf,0.0,0.0,0.0,0
44,1274,0,inf,0.0,0.0,0.0,0
45,1324,0,inf,0.0,0.0,0.0,0
46,1333,0,inf,0.0,0.0,0.0,0
47,1383,0,inf,0.0,0.0,0.0,0
48,1392,0,inf,0.0,0.0,0.0,0
49,1442,0,inf,0.0,0.0,0.0,0
50,1451,0,inf,0.0,0.0,0.0,0
51,1502,0,inf,0.0,0.0,0.0,0
52,1510,0,inf,0.0,0.0,0.0,0
53,1561,0,inf,0.0,0.0,0.0,0
54,1569,0,inf,0.0,0.0,0.0,0
55,1620,0,inf,0.0,0.0,0.0,0
56,1628,0,inf,0.0,0.0,0.0,0
57,1679,0,inf,0.0,0.0,0.0,0
58,1687,0,inf,0.0,0.0,0.0,0
59,1738,0,inf,0.0,0.0,0.0,0
60,1747,0,inf,0.0,0.0,0.0,0
61,1797,0,inf,0.0,0.0,0.0,0
62,1806,0,inf,0.0,0.0,0.0,0
63,1856,0,inf,0.0,0.0,0.0,0
64,1865,0,inf,0.0,0.0,0.0,0
65,1915,0,inf,0.0,0.0,0.0,0
66,1924,0,inf,0.0,0.0,0.0,0
67,1974,0,inf,0.0,0.0,0.0,0
68,1983,0,inf,0.0,0.0,0.0,0
69,2034,0,inf,0.0,0.0,0.0,0
70,2042,0,inf,0.0,0.0,0.0,0
71,2093,0,inf,0.0,0.0,0.0,0
72,2101,0,inf,0.0,0.0,0.0,0
73,2152,0,inf,0.0,0.0,0.0,0
74,2160,0,inf,0.0,0.0,0.0,0
75,2211,0,inf,0.0,0.0,0.0,0
76,2219,0,inf,0.0,0.0,0.0,0
77,2270,0,inf,0.0,0.0,0.0,0
78,2279,0,inf,0.0,0.0,0.0,0
79,2329,0,inf,0.0,0.0,0.0,0
80,2338,0,inf,0.0,0.0,0.0,0
81,2388,0,inf,0.0,0.0,0.0,0
82,2397,0,inf,0.0,0.0,0.0,0
83,2447,0,inf,0.0,0.0,0.0,0
84,2456,0,inf,0.0,0.0,0.0,0
85,2506,0,inf,0.0,0.0,0.0,0
86,2515,0,inf,0.0,0.0,0.0,0
87,2565,0,inf,0.0,0.0,0.0,0
88,2574,0,inf,0.0,0.0,0.0,0
89,2625,0,inf,0.0,0.0,0.0,0
90,2633,0,inf,0.0,0.0,0.0,0
91,2684,0,inf,0.0,0.0,0.0,0
92,2692,0,inf,0.0,0.0,0.0,0
93,2743,0,inf,0.0,0.0,0.0,0
94,2751,0,inf,0.0,0.0,0.0,0
95,2802,0,inf,0.0,0.0,0.0,0
96,2810,0,inf,0.0,0.0,0.0,0
97,2861,0,inf,0.0,0.0,0.0,0
98,2870,0,inf,0.0,0.0,0.0,0
99,2920,0,inf,0.0,0.0,0.0,0
100,2929,0,inf,0.0,0.0,0.0,0
