Round,Real Time[s],Sim Time[s],Accuracy,Loss,receved,failue,p_rate[%]
86,27549.1028,3010,0.643764376,1.072946191,19,16,54.28571429
87,27823.88225,3045,0.642664266,1.077834249,17,18,48.57142857
88,28110.98498,3080,0.642664266,1.080857515,17,18,48.57142857
89,28394.69877,3115,0.644064406,1.083392859,18,17,51.42857143
90,28679.1551,3150,0.643664366,1.087325811,19,16,54.28571429
91,28936.8942,3185,0.642964296,1.091595292,14,21,40
92,29211.96617,3220,0.642464246,1.095663786,16,19,45.71428571
93,29480.44896,3255,0.642264226,1.097929001,14,21,40
94,29766.19288,3290,0.644464446,1.10263133,16,19,45.71428571
95,30051.09149,3325,0.643664366,1.107185483,17,18,48.57142857
96,30336.47313,3360,0.641764176,1.111272216,17,18,48.57142857
97,30609.67775,3395,0.641364136,1.117640376,15,20,42.85714286
98,30906.82124,3430,0.641264126,1.120391369,20,15,57.14285714
99,31174.57827,3465,0.641564156,1.127527714,16,19,45.71428571
100,31471.31617,3500,0.641264126,1.131261587,18,17,51.42857143
