Round,Sim Time [s],Loss,Accuracy,prog [%]
1,19,inf,0,0
2,77,inf,0,0
3,134,inf,0,0
4,192,inf,0,0
5,249,inf,0,0
6,307,inf,0,0
7,364,inf,0,0
8,421,inf,0,0
9,479,inf,0,0
10,536,inf,0,0
11,594,inf,0,0
12,651,inf,0,0
13,709,inf,0,0
14,766,inf,0,0
15,823,inf,0,0
16,881,inf,0,0
17,938,inf,0,0
18,996,inf,0,0
19,1053,inf,0,0
20,1111,inf,0,0
21,1168,inf,0,0
22,1225,inf,0,0
23,1283,inf,0,0
24,1340,inf,0,0
25,1398,inf,0,0
26,1455,inf,0,0
27,1513,inf,0,0
28,1570,inf,0,0
29,1627,inf,0,0
30,1685,inf,0,0
31,1742,inf,0,0
32,1800,inf,0,0
33,1857,inf,0,0
34,1915,inf,0,0
35,1972,inf,0,0
36,2029,inf,0,0
37,2087,inf,0,0
38,2144,inf,0,0
39,2202,inf,0,0
40,2259,inf,0,0
41,2317,inf,0,0
42,2374,inf,0,0
43,2431,inf,0,0
44,2489,inf,0,0
45,2546,inf,0,0
46,2604,inf,0,0
47,2661,inf,0,0
48,2719,inf,0,0
49,2776,inf,0,0
50,2833,inf,0,0
51,2891,inf,0,0
52,2948,inf,0,0
53,3006,inf,0,0
54,3063,inf,0,0
55,3121,inf,0,0
56,3178,inf,0,0
57,3235,inf,0,0
58,3293,inf,0,0
59,3350,inf,0,0
60,3408,inf,0,0
61,3465,inf,0,0
62,3523,inf,0,0
63,3580,inf,0,0
64,3637,inf,0,0
65,3695,inf,0,0
66,3752,inf,0,0
67,3810,inf,0,0
68,3867,inf,0,0
69,3925,inf,0,0
70,3982,inf,0,0
71,4039,inf,0,0
72,4097,inf,0,0
73,4154,inf,0,0
74,4212,inf,0,0
75,4269,inf,0,0
76,4327,inf,0,0
77,4384,inf,0,0
78,4441,inf,0,0
79,4499,inf,0,0
80,4556,inf,0,0
81,4614,inf,0,0
82,4671,inf,0,0
83,4729,inf,0,0
84,4786,inf,0,0
85,4843,inf,0,0
86,4901,inf,0,0
87,4958,inf,0,0
88,5016,inf,0,0
89,5073,inf,0,0
90,5131,inf,0,0
91,5188,inf,0,0
92,5245,inf,0,0
93,5303,inf,0,0
94,5360,inf,0,0
95,5418,inf,0,0
96,5475,inf,0,0
97,5533,inf,0,0
98,5590,inf,0,0
99,5647,inf,0,0
