Round,Real Time[s],Sim Time[s],Accuracy,Loss,Precision,Recall,F-score,receved,failue,p_rate[%]
90,58483.37836,4500,0.64546455,1.03932822,,,,18,17,51.4285714
91,59105.80465,4550,0.64526453,1.03876364,,,,15,20,42.8571429
92,59722.64878,4600,0.64366437,1.03865099,,,,15,20,42.8571429
93,60339.29536,4650,0.6429643,1.03830493,,,,15,20,42.8571429
94,60959.49994,4700,0.64406441,1.0377121,,,,15,20,42.8571429
95,61574.47316,4750,0.64316432,1.03769851,,,,18,17,51.4285714
96,62190.73274,4800,0.64306431,1.0371573,,,,15,20,42.8571429
97,62813.35337,4850,0.64256426,1.03689241,,,,17,18,48.5714286
98,63431.8691,4900,0.64076408,1.03670514,,,,19,16,54.2857143
99,64052.57231,4950,0.64416442,1.03664374,,,,17,18,48.5714286
100,64673.14319,5000,0.64306431,1.03653991,,,,17,18,48.5714286
