Round,Sim Time [s],Loss,Accuracy,prog [%]
1,36,inf,0,0
2,94,inf,0,0
3,151,inf,0,0
4,209,inf,0,0
5,267,inf,0,0
6,325,inf,0,0
7,383,inf,0,0
8,440,inf,0,0
9,498,inf,0,0
10,556,inf,0,0
11,614,inf,0,0
12,672,inf,0,0
13,729,inf,0,0
14,787,inf,0,0
15,845,inf,0,0
16,903,inf,0,0
17,960,inf,0,0
18,1018,inf,0,0
19,1076,inf,0,0
20,1134,inf,0,0
21,1192,inf,0,0
22,1249,inf,0,0
23,1307,inf,0,0
24,1365,inf,0,0
25,1423,inf,0,0
26,1481,inf,0,0
27,1538,inf,0,0
28,1596,inf,0,0
29,1654,inf,0,0
30,1712,inf,0,0
31,1769,inf,0,0
32,1827,inf,0,0
33,1885,inf,0,0
34,1943,inf,0,0
35,2001,inf,0,0
36,2058,inf,0,0
37,2116,inf,0,0
38,2174,inf,0,0
39,2232,inf,0,0
40,2290,inf,0,0
41,2347,inf,0,0
42,2405,inf,0,0
43,2463,inf,0,0
44,2521,inf,0,0
45,2578,inf,0,0
46,2636,inf,0,0
47,2694,inf,0,0
48,2752,inf,0,0
49,2810,inf,0,0
50,2867,inf,0,0
51,2925,inf,0,0
52,2983,inf,0,0
53,3041,inf,0,0
54,3099,inf,0,0
55,3156,inf,0,0
56,3214,inf,0,0
57,3272,inf,0,0
58,3330,inf,0,0
59,3388,inf,0,0
60,3445,inf,0,0
61,3503,inf,0,0
62,3561,inf,0,0
63,3619,inf,0,0
64,3676,inf,0,0
65,3734,inf,0,0
66,3792,inf,0,0
67,3850,inf,0,0
68,3908,inf,0,0
69,3965,inf,0,0
70,4023,inf,0,0
71,4081,inf,0,0
72,4139,inf,0,0
73,4197,inf,0,0
74,4254,inf,0,0
75,4312,inf,0,0
76,4370,inf,0,0
77,4428,inf,0,0
78,4485,inf,0,0
79,4543,inf,0,0
80,4601,inf,0,0
81,4659,inf,0,0
82,4717,inf,0,0
83,4774,inf,0,0
84,4832,inf,0,0
85,4890,inf,0,0
86,4948,inf,0,0
87,5006,inf,0,0
88,5063,inf,0,0
89,5121,inf,0,0
90,5179,inf,0,0
91,5237,inf,0,0
92,5294,inf,0,0
93,5352,inf,0,0
94,5410,inf,0,0
95,5468,inf,0,0
96,5526,inf,0,0
97,5583,inf,0,0
98,5641,inf,0,0
99,5699,inf,0,0
100,5757,inf,0,0
