time,x,y,in_or_out
0.0,684.2393872443995,1,0
1.0,668.3492744053975,1,0
2.0,652.4591615663956,1,0
3.0,636.5690487273936,1,0
4.0,620.6789358883916,1,0
5.0,604.7888230493896,1,0
6.0,588.8987102103877,1,0
7.0,573.0085973713857,1,0
8.0,557.1184845323837,1,0
9.0,541.2283716933817,1,0
10.0,525.3382588543798,1,0
11.0,509.44814601537786,1,0
12.0,493.55803317637594,1,0
13.0,477.667920337374,1,0
14.0,461.7778074983721,1,0
15.0,445.8876946593702,1,0
16.0,429.9975818203683,1,0
17.0,414.10746898136637,1,0
18.0,398.21735614236445,1,0
19.0,382.32724330336254,1,0
20.0,366.4371304643606,1,0
21.0,350.5470176253587,1,0
22.0,334.6569047863568,1,0
23.0,318.7667919473549,1,0
24.0,302.87667910835296,1,0
25.0,286.98656626935104,1,0
26.0,271.09645343034913,1,0
27.0,255.20634059134719,1,0
28.0,239.31622775234524,1,1
29.0,223.4261149133433,1,1
30.0,207.53600207434135,1,1
31.0,191.6458892353394,1,2
32.0,175.75577639633747,1,2
33.0,159.86566355733552,1,2
34.0,143.97555071833358,1,2
35.0,128.08543787933164,1,2
36.0,112.1953250403297,1,2
37.0,96.30521220132778,1,2
38.0,80.41509936232585,1,2
39.0,64.52498652332392,1,2
40.0,48.63487368432198,1,2
41.0,32.744760845320044,1,2
42.0,16.854648006318108,1,2
43.0,0.9645351673161731,1,2
44.0,985.0744223283142,1,2
45.0,969.1843094893122,1,2
46.0,953.2941966503103,1,2
47.0,937.4040838113083,1,2
48.0,921.5139709723063,1,2
49.0,905.6238581333043,1,2
50.0,889.7337452943024,1,2
51.0,873.8436324553004,1,2
52.0,857.9535196162984,1,2
53.0,842.0634067772964,1,2
54.0,826.1732939382945,1,2
55.0,810.2831810992925,1,2
56.0,794.3930682602905,1,1
57.0,778.5029554212886,1,1
58.0,762.6128425822866,1,1
59.0,746.7227297432846,1,0
60.0,730.8326169042826,1,0
61.0,714.9425040652807,1,0
62.0,699.0523912262787,1,0
63.0,683.1622783872767,1,0
64.0,667.2721655482748,1,0
65.0,651.3820527092728,1,0
66.0,635.4919398702708,1,0
67.0,619.6018270312688,1,0
68.0,603.7117141922669,1,0
69.0,587.8216013532649,1,0
70.0,571.9314885142629,1,0
71.0,556.041375675261,1,0
72.0,540.151262836259,1,0
73.0,524.261149997257,1,0
74.0,508.3710371582551,1,0
75.0,492.4809243192532,1,0
76.0,476.59081148025126,1,0
77.0,460.70069864124935,1,0
78.0,444.81058580224743,1,0
79.0,428.9204729632455,1,0
80.0,413.0303601242436,1,0
81.0,397.1402472852417,1,0
82.0,381.25013444623977,1,0
83.0,365.36002160723785,1,0
84.0,349.46990876823594,1,0
85.0,333.579795929234,1,0
86.0,317.6896830902321,1,0
87.0,301.7995702512302,1,0
88.0,285.9094574122283,1,0
89.0,270.01934457322636,1,0
90.0,254.12923173422442,1,0
91.0,238.23911889522248,1,1
92.0,222.34900605622053,1,1
93.0,206.4588932172186,1,1
94.0,190.56878037821664,1,2
95.0,174.6786675392147,1,2
96.0,158.78855470021276,1,2
97.0,142.8984418612108,1,2
98.0,127.00832902220888,1,2
99.0,111.11821618320695,1,2
100.0,95.22810334420502,1,2
101.0,79.3379905052031,1,2
102.0,63.44787766620116,1,2
103.0,47.55776482719922,1,2
104.0,31.667651988197285,1,2
105.0,15.77753914919535,1,2
106.0,999.8874263101934,1,2
107.0,983.9973134711914,1,2
108.0,968.1072006321895,1,2
109.0,952.2170877931875,1,2
110.0,936.3269749541855,1,2
111.0,920.4368621151835,1,2
112.0,904.5467492761816,1,2
113.0,888.6566364371796,1,2
114.0,872.7665235981776,1,2
115.0,856.8764107591757,1,2
116.0,840.9862979201737,1,2
117.0,825.0961850811717,1,2
118.0,809.2060722421697,1,2
119.0,793.3159594031678,1,1
120.0,777.4258465641658,1,1
121.0,761.5357337251638,1,1
122.0,745.6456208861619,1,0
